,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat
135,27.674462890625023,0.519251961539696,6.160782399055541,3.0,forte,0.0122645590229447,Terceiro
241,26.883203125000023,0.443075348790015,2.7995734742011606,1.0,forte,0.0138207534245419,Primeiro
346,31.786431884765648,0.4662141668197457,5.920504001163302,6.0,forte,0.0108410294532229,Sexto
530,13.084436035156273,0.481911237646505,6.581523433149438,5.0,forte,0.0110784392161097,Quinto
550,14.189111328125025,0.4736832603530292,7.636224508950933,5.0,forte,0.0117019621514639,Quinto
551,13.651055908203148,0.4768046823308549,7.059010934489491,5.0,forte,0.0141050138806893,Quinto
809,21.634118652343773,0.4573130281953431,3.4838828100394603,4.0,forte,0.0146904574427736,Quarto
810,20.165368652343773,0.468985075791596,3.7877936202092566,3.0,extremo,0.0286139570960144,Terceiro
811,19.033227539062523,0.4775383547654052,3.9731253745902344,3.0,extremo,0.0231221315097304,Terceiro
812,18.849938964843773,0.4784843638847634,3.1996705482914334,2.0,extremo,0.0282933508166583,Segundo
813,18.509851074218773,0.4761832588250335,2.82229692300516,1.0,extremo,0.0292945785183706,Primeiro
814,18.242547607421898,0.4781309465021414,2.942076030069504,8.0,extremo,0.0246039608288863,Oitavo
815,17.618066406250023,0.4827271510998406,3.550804341839101,7.0,muito_forte,0.018321629666861,Sétimo
1106,16.332543945312523,0.490037081491625,4.4490567963825445,1.0,extremo,0.0234539537919357,Primeiro
1107,17.212365722656273,0.4885866481482886,3.1889439130267117,1.0,muito_forte,0.0185922029470995,Primeiro
1122,19.088281250000023,0.4777769286083775,5.104310509777501,3.0,forte,0.0100525279189692,Terceiro
1123,18.20821533203128,0.4828950380885353,5.3116107470304454,2.0,forte,0.0142154898340563,Segundo
1124,17.386743164062523,0.4873331194083257,5.54973662375593,2.0,muito_forte,0.0162397424836235,Segundo
1125,16.987084960937523,0.4892023126762892,5.2233241859850175,2.0,muito_forte,0.0192567626742836,Segundo
1126,16.658258056640648,0.4899906253740102,4.949556836267365,2.0,muito_forte,0.01938738962054,Segundo
1127,16.320153808593773,0.4907789642237001,4.876034000395795,1.0,muito_forte,0.0192037934216839,Primeiro
1313,26.81856689453128,0.486071470305253,2.7962434048344664,1.0,extremo,0.0229481151692682,Primeiro
1314,24.483300781250023,0.5080262621131385,5.003071758751972,1.0,forte,0.0100296592834162,Primeiro
1393,24.011865234375023,0.4435868791321613,8.14600933625869,3.0,forte,0.0137130577118638,Terceiro
1404,22.773278808593773,0.4498195896304521,8.214332193650534,2.0,forte,0.0146878320857784,Segundo
1409,21.6643005371094,0.4560077972069434,8.165385171783972,2.0,forte,0.0123235142130484,Segundo
1585,27.51534423828128,0.4985213389757871,4.347602768056146,3.0,forte,0.0107414369624451,Terceiro
1920,27.308190917968773,0.4615571738547043,2.6197468848507786,3.0,muito_forte,0.0153300979437802,Terceiro
1921,24.97164306640628,0.4793562026462637,4.564199784303519,2.0,forte,0.0110045969387231,Segundo
1940,21.46456298828128,0.5018014505870718,3.2545766198821977,1.0,forte,0.0128300656513722,Primeiro
2080,28.43160400390628,0.5017455745432647,8.805168844530376,1.0,forte,0.0123070643643982,Primeiro
2161,28.436822509765648,0.4825156919373115,2.971959087614235,2.0,forte,0.0103094775008988,Segundo
2162,23.68453369140628,0.5218989100418451,2.298785028468044,1.0,forte,0.0109220049432375,Primeiro
2172,27.775659179687523,0.4871351622108631,3.0645730889853886,8.0,muito_forte,0.0153257916542276,Oitavo
2177,26.61348876953128,0.496900038160617,3.375647261909787,8.0,forte,0.0125337990729979,Oitavo
2178,25.559411621093773,0.5055785290492051,3.596385630166276,8.0,forte,0.0112901212818332,Oitavo
2179,25.04561767578128,0.5092471370639405,3.430915030406357,8.0,forte,0.0138876103338675,Oitavo
2180,24.560205078125023,0.5125313155350669,3.2766697013507224,1.0,muito_forte,0.0169151149722896,Primeiro
2181,24.708642578125023,0.5142019811948424,2.963081910655066,1.0,extremo,0.0222998847815921,Primeiro
2182,24.28121337890628,0.5174859713143607,2.7876741648849883,1.0,muito_forte,0.0179108864803782,Primeiro
2183,23.925469970703148,0.5201752013537658,2.723136053619362,1.0,muito_forte,0.0151058295441134,Primeiro
2185,27.207666015625023,0.472256837076669,3.2382055756915045,3.0,extremo,0.0258821178379029,Terceiro
2196,25.151879882812523,0.4895476063340601,4.566010147500683,2.0,forte,0.0126917062524593,Segundo
2413,30.215509033203148,0.499923872088619,3.69445874898674,3.0,forte,0.0107439088399313,Terceiro
2414,28.632836914062523,0.5121044291992927,10.0546813209388,2.0,muito_forte,0.0171837436204266,Segundo
2450,24.311181640625023,0.5143539298201546,1.3673081818731856,8.0,forte,0.0125197884810858,Oitavo
2460,26.81441650390628,0.4947043334682965,3.5447199488450103,3.0,forte,0.0126153108821724,Terceiro
2465,26.866998291015648,0.4908388123890472,2.541808806470883,3.0,extremo,0.0245472883631237,Terceiro
2466,26.420678710937523,0.494209314297102,1.4885379740879747,3.0,muito_forte,0.0198649621198577,Terceiro
2467,25.738885498046898,0.5002402342776145,0.7828384427014501,2.0,muito_forte,0.0155400529551915,Segundo
2468,25.14718017578128,0.5054162328978854,1.345512125637331,8.0,extremo,0.0218349260205157,Oitavo
2469,24.49630126953128,0.5129082478547904,3.24024259881378,7.0,forte,0.0130423418182688,Sétimo
2470,24.24849853515628,0.5151663013666521,3.0543172646941152,7.0,forte,0.0106118916888424,Sétimo
2471,24.52535400390628,0.512663875356294,2.3589030433544003,7.0,muito_forte,0.0151053302444859,Sétimo
2651,29.508905029296898,0.495857571783968,12.252564888708443,8.0,forte,0.0100934227378329,Oitavo
2753,27.559899902343773,0.4910030500035127,2.8227867321959828,3.0,muito_forte,0.0164897844711729,Terceiro
2772,24.471520996093773,0.4831757703136426,5.370697714978498,2.0,forte,0.0127114164174303,Segundo
2834,22.724633789062523,0.4733886577552794,3.417743570948365,2.0,extremo,0.0201513202773048,Segundo
2835,23.096582031250023,0.4754741356599125,2.920691905147435,2.0,forte,0.0130186132730428,Segundo
2851,24.959985351562523,0.4586564855163377,2.275076050399309,1.0,forte,0.0101408405569411,Primeiro
2855,22.98482666015628,0.4731283559462105,2.740827169826348,2.0,forte,0.0116633935114865,Segundo
2943,31.298974609375023,0.4673997393886359,5.427154706236211,3.0,forte,0.0101863137405087,Terceiro
3060,24.583886718750023,0.4893239059853498,4.898112814764489,1.0,forte,0.0136619936521033,Primeiro
3178,28.257165527343773,0.5073484185314021,9.190204928716954,8.0,forte,0.0101484657102858,Oitavo
3338,21.844140625000023,0.515801289274109,2.6789370954020892,1.0,extremo,0.0222167334131595,Primeiro
3354,24.477593994140648,0.5033132901017171,2.3878059676732017,2.0,forte,0.0117473398182401,Segundo
3359,22.313073730468773,0.5113095180199716,2.240456792827669,2.0,muito_forte,0.0155979461691784,Segundo
3360,26.565759277343773,0.483469017615986,3.556905138652708,3.0,forte,0.0112758023444112,Terceiro
3409,27.564050292968773,0.4349918262491999,2.902722024063551,1.0,muito_forte,0.0157327028935288,Primeiro
3522,27.068505859375023,0.5120210895353694,2.9622935524589926,1.0,forte,0.010232322531011,Primeiro
3523,26.860375976562523,0.5125052634085207,2.5372628256532193,8.0,forte,0.0104198191461967,Oitavo
3800,33.08919677734377,0.4706370822163898,8.885363635537393,8.0,forte,0.0117400711199082,Oitavo
3980,22.380883789062523,0.4816991815531479,3.1508348691727983,2.0,forte,0.0143209211157187,Segundo
4064,30.99141845703128,0.4854448767371456,4.7032692569831385,4.0,forte,0.0100642575082154,Quarto
4090,34.01137695312502,0.4484322666808015,15.50668974052728,8.0,forte,0.0105822421515134,Oitavo
4096,28.635522460937523,0.4964593051355432,13.255212796075746,1.0,muito_forte,0.0155247469158664,Primeiro
4193,26.639916992187523,0.5157653061894201,2.451872477387668,2.0,forte,0.0145570773843547,Segundo
4368,27.184167480468773,0.5099820763901728,13.060472663126898,1.0,forte,0.0120938477802867,Primeiro
4819,23.371972656250023,0.5019221062253691,2.235504372724458,7.0,forte,0.0146482693712978,Sétimo
4820,22.401422119140648,0.509412041269439,2.7931495565898405,8.0,extremo,0.0222067309079118,Oitavo
4821,21.531182861328148,0.5128662431064747,3.4025162024704754,1.0,forte,0.013651062775081,Primeiro
5707,23.5129333496094,0.4863210847655996,2.9060796431285305,1.0,muito_forte,0.0180298328625819,Primeiro
5708,22.703881835937523,0.4917602966230729,3.2425026248195827,8.0,muito_forte,0.016370498488979,Oitavo
5976,27.255273437500023,0.4549514234470918,2.396088695738455,2.0,muito_forte,0.0150051032950101,Segundo
6072,26.948846435546898,0.5208702835739558,7.124459323061623,3.0,forte,0.0105759154427461,Terceiro
6696,27.999169921875023,0.503990697572464,1.9860161904674858,3.0,forte,0.0125767646040284,Terceiro
6697,27.285424804687523,0.5108966495233095,2.679235932697652,2.0,forte,0.0127420666901589,Segundo
6722,21.233789062500023,0.524393479720995,3.7454208580101254,1.0,forte,0.0127667957918102,Primeiro
6741,22.565026855468773,0.5157382220204466,3.1013726751885415,2.0,muito_forte,0.0153825103673713,Segundo
6742,21.8911071777344,0.5206631019538157,3.6796192692435565,2.0,forte,0.0115879183760349,Segundo
