,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat,NDVI
373,24.31466064453128,0.4522576240338032,3.72681151090067,3,extremo,0.0337378519722468,Terceiro,0.396348
374,24.268487548828148,0.4525371051093011,1.768300665192604,3,forte,0.0141372582875614,Terceiro,0.396348
375,23.718530273437523,0.4575470481167511,0.9309317031612893,1,forte,0.0114764381674621,Primeiro,0.396348
382,29.89107666015628,0.413394207644938,7.813016946402796,4,forte,0.0111518006662458,Quarto,0.39518902
384,24.511834716796898,0.4997210726691869,5.578878257565318,8,forte,0.0108738413557605,Oitavo,0.39518902
392,27.580468750000023,0.4350433220893279,4.7277132199579395,3,forte,0.0129113847747299,Terceiro,0.39518902
518,27.506921386718773,0.3978084401467714,11.307567996502272,2,forte,0.0109383021450595,Segundo,0.20219329
519,27.054010009765648,0.4009302989190753,11.098160308691167,2,forte,0.0112424693639719,Segundo,0.20219329
520,26.557153320312523,0.4060469251527046,10.87955661256065,1,forte,0.0113003067336468,Primeiro,0.20219329
561,24.071649169921898,0.4353612534217794,9.31533402777625,1,muito_forte,0.0153353407941173,Primeiro,0.19380194
564,26.228448486328148,0.4164422553688528,8.900424545893971,2,forte,0.0116088566503402,Segundo,0.19380194
565,25.726403808593773,0.4195989595811641,8.857706707314485,2,forte,0.0143053923084849,Segundo,0.19380194
566,25.189233398437523,0.4232716641917631,8.677199226971076,2,muito_forte,0.0168431431196135,Segundo,0.19380194
567,24.658532714843773,0.4280074799306517,9.195652031516527,1,forte,0.0137976456493477,Primeiro,0.19380194
568,24.425866699218773,0.4303410091491485,9.295462419747999,1,forte,0.014585812925835,Primeiro,0.19380194
569,24.215600585937523,0.4324646304311259,9.319415205198965,1,muito_forte,0.0154225773147597,Primeiro,0.19380194
593,30.327050781250023,0.4977254945083404,6.321059121900552,5,forte,0.0140891374071556,Quinto,0.24491394
604,19.1943298339844,0.468612145740831,8.56129191728364,1,forte,0.0114109571092874,Primeiro,0.20058924
605,19.700830078125023,0.4710082934071613,7.693388009166961,1,forte,0.0112033985312,Primeiro,0.20058924
606,19.268090820312523,0.4672309329943876,8.494991564560197,1,forte,0.0103626795289234,Primeiro,0.20058924
629,32.94136962890627,0.4706988667727129,4.41672077304115,6,forte,0.010465392931762,Sexto,0.269983
641,28.1340270996094,0.4718326659976783,20.967118630909873,5,forte,0.0108864328050383,Quinto,0.21053837
642,27.917871093750023,0.4685642304018084,21.053878643077134,5,forte,0.0108521652223195,Quinto,0.21053837
644,25.0629821777344,0.4655416943045169,23.16287986378722,5,forte,0.0105355786009591,Quinto,0.21053837
652,33.13338623046877,0.4648770245213217,9.679780128673126,6,forte,0.012231495708129,Sexto,0.21153846
653,31.146752929687523,0.4837758776719875,9.42376866288079,6,forte,0.012986174319707,Sexto,0.21153846
681,32.19558105468752,0.4453582034966581,11.123761724703881,5,forte,0.0109970734933786,Quinto,0.21771991
698,32.5482116699219,0.4611200987012496,8.536508738606985,6,forte,0.0149540180573496,Sexto,0.22318594
699,31.157495117187523,0.4738536121017564,5.649025525503304,7,forte,0.0108493438016115,Sétimo,0.22318594
706,21.42354736328128,0.5416620772931726,13.394893541617858,5,muito_forte,0.0157522162980834,Quinto,0.26057792
756,29.378686523437523,0.4958968231472941,5.601574159823538,8,forte,0.0124035571453365,Oitavo,0.23022063
771,30.125268554687523,0.490601032750912,8.064270217489288,1,muito_forte,0.018340606199498,Primeiro,0.21417068
772,30.509912109375023,0.4905432226699812,8.18704754500869,8,forte,0.0105928747676907,Oitavo,0.21417068
784,19.310693359375023,0.477351471932116,9.408821681074926,1,forte,0.0101454230608012,Primeiro,0.18829638
789,24.687402343750023,0.4294003747223288,11.46114972511033,2,forte,0.0142340963005516,Segundo,0.21665522
790,26.055474853515648,0.4062763125265838,10.956236891355255,2,forte,0.0103830117859549,Segundo,0.21665522
842,28.492791748046898,0.4756656105039816,3.734295693377404,3,forte,0.0109162116786945,Terceiro,0.23873293
883,26.143884277343773,0.4780928212881514,12.652487281918246,5,forte,0.0110784890565408,Quinto,0.2040404
