,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat
241,26.054833984375023,0.4601782944721793,2.718481036541804,1.0,forte,0.0120093336679654,Primeiro
266,24.57711181640628,0.4740513860819842,3.2276234366502106,2.0,extremo,0.0398658800292754,Segundo
353,27.789361572265648,0.5158822992421845,3.0186068154001964,2.0,forte,0.0122774501252776,Segundo
354,26.891870117187523,0.5227468488104997,3.46551604403328,1.0,forte,0.0103610683291237,Primeiro
645,27.344018554687523,0.4961395846673394,2.695832986872485,1.0,extremo,0.0239193488144415,Primeiro
788,22.745996093750023,0.5219952582039853,3.971046513057491,2.0,forte,0.0118225880958589,Segundo
789,22.1403747558594,0.5262666532190204,4.391676591470189,2.0,forte,0.0101775285138532,Segundo
790,22.879663085937523,0.5197870142324356,2.82379716211616,2.0,extremo,0.020753563164492,Segundo
1077,22.500848388671898,0.5193180721014427,2.5618258024386638,1.0,muito_forte,0.0175752547942962,Primeiro
1078,21.349633789062523,0.5264003396290707,3.7348741215027266,8.0,muito_forte,0.0199138198246262,Oitavo
1079,20.1511169433594,0.5332132273626955,4.423910234952424,8.0,forte,0.0103165118738442,Oitavo
1104,27.116296386718773,0.4513111604873377,3.2363099405610054,2.0,extremo,0.0240653350204517,Segundo
1167,29.01680908203128,0.5021394205575029,6.702616857111731,2.0,forte,0.0101977862808233,Segundo
1370,22.584527587890648,0.5097777841848959,9.6384892486095,8.0,forte,0.0110753144698641,Oitavo
1386,23.472283935546898,0.5136312865683649,7.322740939068366,1.0,forte,0.0102779009539939,Primeiro
1387,22.989801025390648,0.5158784336032677,7.80813884794529,1.0,forte,0.0101256470749517,Primeiro
1388,22.774743652343773,0.5160034259599805,7.979785399756558,1.0,forte,0.0100730208134372,Primeiro
1393,26.310937500000023,0.4460386470449926,2.2042575410591487,3.0,forte,0.0139849788812738,Terceiro
1484,25.633691406250023,0.5034409665987438,8.31577623878508,8.0,forte,0.0110430108634959,Oitavo
1485,25.330468750000023,0.5042626034344442,8.001762643273652,8.0,forte,0.0125521873646601,Oitavo
1486,24.986596679687523,0.5077631031134593,8.083549596078885,1.0,forte,0.0118199693732849,Primeiro
1487,24.666894531250023,0.5111229786127652,8.533933787432328,1.0,forte,0.0100034096762106,Primeiro
1536,28.395928955078148,0.5065895503833266,1.2017911958916745,2.0,forte,0.0100728258318743,Segundo
1676,22.096948242187523,0.5311918241349972,8.776935717963262,5.0,forte,0.0105748150996893,Quinto
1726,24.156152343750023,0.5100188912788557,2.4000105707440564,1.0,forte,0.0146393697510288,Primeiro
1727,23.801354980468773,0.5131304211543162,2.494520981358612,1.0,forte,0.0149910420951334,Primeiro
1752,29.822106933593773,0.4740742373119702,7.056428145034801,8.0,forte,0.0118876603701334,Oitavo
1753,28.743554687500023,0.4797002547846671,7.927073730930476,8.0,forte,0.01425802057996,Oitavo
1764,27.743005371093773,0.4863260424021531,7.828118067091595,8.0,muito_forte,0.016321730552319,Oitavo
1769,26.974023437500023,0.4918660241862742,7.554837182753021,8.0,muito_forte,0.0174611428341556,Oitavo
1770,26.368066406250023,0.4967145032886114,6.925186074650393,8.0,muito_forte,0.0181296007396839,Oitavo
1771,25.60006103515628,0.5029733748563561,6.5237618821407395,8.0,muito_forte,0.0177316581419242,Oitavo
1772,24.858972167968773,0.5092043307919829,6.181880366426747,1.0,muito_forte,0.0167116801784697,Primeiro
1773,24.697137451171898,0.5139743758212347,5.115820475064822,1.0,forte,0.0128036036518688,Primeiro
1774,24.07344970703128,0.517663144031628,5.656262424419784,1.0,forte,0.0113727386533448,Primeiro
1883,28.616479492187523,0.509846609108234,4.226085306972026,3.0,forte,0.0113085411214696,Terceiro
2029,29.574060058593773,0.4949833112392144,7.305279754822784,3.0,forte,0.0128742477334434,Terceiro
2231,20.2910095214844,0.5390802205619842,3.461037410091584,1.0,forte,0.0112830386239633,Primeiro
2256,27.777856445312523,0.4495350515256159,3.4603826420395887,1.0,forte,0.0107951834632165,Primeiro
2330,25.99288330078128,0.5148784822336244,5.204153547243886,5.0,forte,0.0129129299457601,Quinto
2340,28.102624511718773,0.4913629213758941,3.8828829437424424,8.0,forte,0.0114231018789032,Oitavo
2346,27.822900390625023,0.4863452310707626,1.9906134910209625,8.0,extremo,0.0237867535075002,Oitavo
2348,26.24556884765628,0.4950440144474338,7.107851988128639,5.0,forte,0.0124759554743673,Quinto
2349,26.318872070312523,0.49399712847664,8.381730563372397,5.0,forte,0.0129548250386218,Quinto
2350,26.067773437500023,0.4997859778449663,7.537738110945633,5.0,muito_forte,0.0150584180336087,Quinto
2351,25.715905761718773,0.507988640269793,6.4474086421952235,5.0,forte,0.0148020415812278,Quinto
2474,22.399682617187523,0.5369286306838793,2.2394319825244855,8.0,forte,0.0100490233450416,Oitavo
