,skinTemp,RH,windspeed,windquad,UHIp,windquad_cat,surface_pressure
458,19.368737792968773,0.5373259185910656,6.248625421343059,5,forte,Quinto,992.4755
479,19.68941650390628,0.5367933638171344,6.428343297695634,5,forte,Quinto,991.9455
734,29.692498779296898,0.4997568512311349,7.025779209194172,5,forte,Quinto,985.4303
813,11.614770507812525,0.5000560221934729,18.847092750697882,5,forte,Quinto,100.19217
877,31.832666015625023,0.5137154652245588,10.365890455128177,1,forte,Primeiro,984.1333
890,22.443902587890648,0.4840317233655524,8.170060155540936,8,forte,Oitavo,988.94234
910,22.41085205078128,0.4760188509440902,8.825522305780513,8,forte,Oitavo,987.854
911,22.064233398437523,0.4797348154202152,8.764837870777354,8,forte,Oitavo,988.2873
1133,31.938043212890648,0.4940303196661699,18.742736833595934,1,forte,Primeiro,990.9855
1235,27.634423828125023,0.5113590953118252,12.022068711844485,8,forte,Oitavo,982.1153
1261,28.845361328125023,0.5191911307774558,4.143993020995537,7,forte,Sétimo,987.8791
1370,9.766320800781273,0.4851207395822862,7.160479937157762,5,forte,Quinto,998.11625
1371,10.267419433593773,0.4879174985034088,6.136529594883799,5,forte,Quinto,998.5553
1391,10.070855712890648,0.4831347211163982,7.497306073921443,5,forte,Quinto,997.5519
1522,30.493035888671898,0.5044773639605415,10.696320201433506,7,forte,Sétimo,980.058
1886,29.602929687500023,0.5078677181070893,8.385661347339889,2,forte,Segundo,986.7467
1898,17.681787109375023,0.5146080176999986,7.683576080536519,8,forte,Oitavo,989.0287
1919,18.415917968750023,0.5057663953984836,7.525773949286924,8,forte,Oitavo,987.7684
1982,32.26735839843752,0.4850995296200612,5.0406923651205435,3,forte,Terceiro,988.48266
1983,28.903497314453148,0.4976478532826304,6.512111066581469,3,muito_forte,Terceiro,988.8269
1984,26.918969726562523,0.5054974027151159,6.54757615088852,3,forte,Terceiro,989.1975
2054,35.44036254882815,0.4683469117993833,7.984189044742826,2,forte,Segundo,988.0346
2109,20.034295654296898,0.499657096833395,14.37293416216871,5,forte,Quinto,984.8237
2110,19.398278808593773,0.4970702113883821,13.911457208112898,5,forte,Quinto,984.9847
2111,18.7028747558594,0.4976493804713176,13.457184727893216,5,forte,Quinto,985.41766
2150,26.744561767578148,0.5175254790972047,4.118719032588866,8,forte,Oitavo,984.3418
2203,20.875909423828148,0.5321420687970045,9.00577792117798,5,forte,Quinto,990.88125
2204,20.903833007812523,0.5382302161419388,7.798640947152096,5,forte,Quinto,991.04234
2256,25.713067626953148,0.5114117939257598,6.321654491229356,3,forte,Terceiro,989.86984
2261,33.61626586914065,0.4901111522208518,0.986024144248982,3,forte,Terceiro,992.9203
2378,17.045556640625023,0.526670350916448,3.8362940485449006,8,forte,Oitavo,987.8789
2395,17.676019287109398,0.5219744886862269,5.365727509060278,7,forte,Sétimo,986.8381
2396,17.247888183593773,0.523661898119948,5.423160817758747,7,forte,Sétimo,986.4919
2397,17.159936523437523,0.5241258349506581,5.935268777259251,7,forte,Sétimo,986.44234
2398,16.694604492187523,0.5255569014512497,5.946117065855242,7,forte,Sétimo,986.4747
2399,16.377099609375023,0.5280136876316796,5.647645170688285,7,forte,Sétimo,986.97836
2413,31.470147705078148,0.5146313440478764,5.815274834480914,3,forte,Terceiro,985.4677
2414,28.823754882812523,0.5242915291096295,8.386279039553788,4,forte,Quarto,985.88445
2565,21.828637695312523,0.5237945139726369,5.112971938422402,3,forte,Terceiro,990.5207
2664,20.80318603515628,0.4930405678247627,7.81930846035454,3,forte,Terceiro,987.1161
2665,19.7587829589844,0.5022631920476475,7.415796735389953,3,muito_forte,Terceiro,988.03625
2666,17.897515869140648,0.5277313022051772,4.41269731570948,1,forte,Primeiro,988.92164
2676,19.097680664062523,0.5129817581676533,6.193861289415704,3,muito_forte,Terceiro,988.7806
2681,18.46627197265628,0.5158871231059042,4.995854018326444,2,muito_forte,Segundo,989.0201
2682,18.1843200683594,0.5122261514800893,3.7943381831183642,2,muito_forte,Segundo,988.567
2683,18.088067626953148,0.5034650483528927,2.217808000050855,1,muito_forte,Primeiro,987.8642
2684,17.934533691406273,0.504051457276957,1.4614324563814274,2,muito_forte,Segundo,987.623
2685,17.387048339843773,0.5070149574781595,2.1443614856564572,1,muito_forte,Primeiro,987.5111
2686,16.950830078125023,0.5099545371910688,2.9690891203938117,2,muito_forte,Segundo,987.8951
2687,16.729791259765648,0.5210690617925197,4.337555795175513,2,forte,Segundo,988.2925
2701,31.4811950683594,0.5112807669378261,7.502370722064377,4,forte,Quarto,986.1834
2702,28.950219726562523,0.5169376536683017,9.09528682776098,2,forte,Segundo,986.3847
2810,14.608850097656273,0.5083301953152393,9.20968354704071,5,extremo,Quinto,994.71375
2811,15.160180664062525,0.503934886497582,9.217428611341866,5,forte,Quinto,995.3108
2826,17.003381347656273,0.5020471088922182,6.974828575752244,4,forte,Quarto,993.7683
2827,16.203088378906273,0.5063369919790316,7.242850484431274,5,muito_forte,Quinto,993.57234
2828,15.618615722656273,0.5090731334318555,7.5531035392616745,5,muito_forte,Quinto,993.3762
2829,15.257958984375025,0.5106133127063593,7.888133474589225,5,extremo,Quinto,993.0511
2830,14.941308593750025,0.5107023739674564,8.462455603458528,5,extremo,Quinto,993.207
2831,14.787042236328148,0.5097800288150416,8.799752223299025,5,extremo,Quinto,993.79875
2834,20.092370605468773,0.5111871855006986,2.5831757782838842,2,forte,Segundo,990.9997
2989,31.82906494140628,0.5103983920106179,6.532061195889147,3,forte,Terceiro,986.0963
2990,29.126031494140648,0.5158008326455494,6.1146203092728335,2,forte,Segundo,986.15805
3050,14.902276611328148,0.5231706609849546,7.43023806494841,5,forte,Quinto,994.8586
3071,14.952966308593773,0.5231310687710573,7.454629962158206,5,forte,Quinto,994.5102
3074,15.916589355468773,0.5161361516283417,11.357108202930165,4,forte,Quarto,996.1742
3091,16.911065673828148,0.5173897291509928,10.976289042073512,5,forte,Quinto,995.3555
3433,23.247857666015648,0.5060891752615422,10.80756466898238,4,forte,Quarto,991.1909
3441,27.104150390625023,0.4913874280258398,12.901442037145408,5,forte,Quinto,993.4873
3442,26.896386718750023,0.488971248238561,12.255015203719633,5,forte,Quinto,992.4492
3443,26.686181640625023,0.4893602544656403,10.271258025013564,4,forte,Quarto,992.2872
3444,22.898217773437523,0.5080076506893859,10.962816348934389,4,forte,Quarto,991.748
3445,24.915399169921898,0.4865971830568898,10.65318084274503,4,muito_forte,Quarto,991.9091
3446,24.212670898437523,0.4872714378591303,9.487953652655161,4,forte,Quarto,991.6783
3449,22.62203369140628,0.5100716996812228,11.38610332012981,4,forte,Quarto,992.3355
3450,22.364587402343773,0.512096292457753,12.130284553178928,4,forte,Quarto,992.48984
3451,22.068383789062523,0.5127714655085217,14.259174293213416,5,forte,Quinto,992.1572
3622,18.796777343750023,0.529511042859245,7.524524231799786,5,forte,Quinto,990.1844
3623,18.59468994140628,0.530085810631183,7.624285275838554,5,forte,Quinto,990.3228
3626,15.834649658203148,0.5307069747712778,5.9981795331563434,5,forte,Quinto,995.38625
3645,16.501916503906273,0.5260164284739492,7.65364164506506,5,forte,Quinto,994.7434
3646,16.270043945312523,0.5273476029024111,7.0922431803879435,5,forte,Quinto,994.5138
3647,16.049645996093773,0.5287687881803713,6.343727459736747,5,forte,Quinto,994.81836
3806,32.08065185546877,0.5019691386149226,7.8228513356067975,3,forte,Terceiro,986.6757
3807,28.90377197265628,0.5113559458425128,10.007011950158416,2,forte,Segundo,987.5219
3877,32.14837036132815,0.5069215869409552,8.52934875922586,3,forte,Terceiro,984.9055
3878,29.444726562500023,0.5147684413830133,6.149769672490746,4,forte,Quarto,984.4445
3890,18.352441406250023,0.5349439886281209,7.361258265425665,5,forte,Quinto,990.1606
3909,18.836114501953148,0.5339275558320287,7.151154769182809,5,forte,Quinto,989.4561
3910,18.73995361328128,0.5343249142741991,7.142340886796785,5,forte,Quinto,989.5678
3911,18.541314697265648,0.5348618332026068,7.280398361257152,5,forte,Quinto,989.6208
3938,14.453942871093773,0.5369554425412696,5.578666251784578,5,forte,Quinto,993.9216
3939,15.199273681640648,0.5356552638194697,4.352650594641044,5,forte,Quinto,994.6007
3958,14.943627929687525,0.5340747378973376,5.632935886916522,5,forte,Quinto,993.4015
3959,14.685693359375025,0.5355404941107903,5.67944983809257,5,forte,Quinto,993.5729
4046,28.636529541015648,0.5173888990440034,3.5424740844500775,5,forte,Quinto,983.59805
4070,35.16237792968752,0.4731041548489667,7.3085775831149,2,forte,Segundo,984.2563
4124,23.492486572265648,0.5296478699417453,6.298468131117695,8,forte,Oitavo,989.16
4125,23.211602783203148,0.5346292831063046,5.312157263025555,8,forte,Oitavo,988.8013
