,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat,NDVI
10,27.674462890625023,0.519251961539696,6.160782399055541,3,forte,0.0122645590229447,Terceiro,0.47879615
11,13.084436035156273,0.481911237646505,6.581523433149438,5,forte,0.0110784392161097,Quinto,0.35235804
16,14.189111328125025,0.4736832603530292,7.636224508950933,5,forte,0.0117019621514639,Quinto,0.35235804
17,13.651055908203148,0.4768046823308549,7.059010934489491,5,forte,0.0141050138806893,Quinto,0.35235804
29,16.332543945312523,0.490037081491625,4.4490567963825445,1,extremo,0.0234539537919357,Primeiro,0.33889258
32,19.088281250000023,0.4777769286083775,5.104310509777501,3,forte,0.0100525279189692,Terceiro,0.33889258
33,18.20821533203128,0.4828950380885353,5.3116107470304454,2,forte,0.0142154898340563,Segundo,0.33889258
34,17.386743164062523,0.4873331194083257,5.54973662375593,2,muito_forte,0.0162397424836235,Segundo,0.33889258
35,16.987084960937523,0.4892023126762892,5.2233241859850175,2,muito_forte,0.0192567626742836,Segundo,0.33889258
36,16.658258056640648,0.4899906253740102,4.949556836267365,2,muito_forte,0.01938738962054,Segundo,0.33889258
37,16.320153808593773,0.4907789642237001,4.876034000395795,1,muito_forte,0.0192037934216839,Primeiro,0.33889258
45,24.011865234375023,0.4435868791321613,8.14600933625869,3,forte,0.0137130577118638,Terceiro,0.32738096
46,22.773278808593773,0.4498195896304521,8.214332193650534,2,forte,0.0146878320857784,Segundo,0.32738096
47,21.6643005371094,0.4560077972069434,8.165385171783972,2,forte,0.0123235142130484,Segundo,0.32738096
54,30.215509033203148,0.499923872088619,3.69445874898674,3,forte,0.0107439088399313,Terceiro,0.5175064
55,28.632836914062523,0.5121044291992927,10.0546813209388,2,muito_forte,0.0171837436204266,Segundo,0.5175064
72,30.99141845703128,0.4854448767371456,4.7032692569831385,4,forte,0.0100642575082154,Quarto,0.5176444
226,30.301934814453148,0.4591440301079981,1.19901189682013,7,forte,0.0148866530928777,Sétimo,0.48935154
227,29.66402587890628,0.4637365530029278,1.1939507639071099,8,muito_forte,0.0177792488817783,Oitavo,0.48935154
228,29.380761718750023,0.4635311686090725,1.4786646085960569,4,muito_forte,0.0174109837663744,Quarto,0.48935154
235,19.563775634765648,0.5063735948598597,5.741466787022958,5,muito_forte,0.017019191566644,Quinto,0.4186183
236,19.277612304687523,0.5104468551697138,4.643258020950491,5,forte,0.0124387788216282,Quinto,0.4186183
238,20.09200439453128,0.5062374212567763,6.9637216576939664,5,forte,0.010296252155311,Quinto,0.4186183
239,20.10567626953128,0.5052155608851894,6.546888725550826,5,forte,0.0125974548136641,Quinto,0.4186183
240,19.978906250000023,0.5046217055679713,6.291477190760334,5,muito_forte,0.015253905067652,Quinto,0.4186183
369,32.21248779296877,0.4644226075483942,7.111253404000189,6,forte,0.0119705061381906,Sexto,0.27810395
444,27.93868408203128,0.4655805357320801,5.160628211715409,4,forte,0.0102905659222637,Quarto,0.25726143
447,20.14180908203128,0.4693652097587406,10.168854069330306,1,forte,0.0131713464337265,Primeiro,0.26830503
448,20.555505371093773,0.4722871201355359,9.772038038104567,1,forte,0.0130079564738689,Primeiro,0.26830503
460,20.795526123046898,0.4638148430428995,10.104124093814333,2,forte,0.0101124684216652,Segundo,0.26830503
461,20.627740478515648,0.4627874294935593,10.2207297587062,2,forte,0.0115136257509606,Segundo,0.26830503
462,20.27462158203128,0.4647188452794812,9.93133682561355,2,forte,0.0109816051963307,Segundo,0.26830503
463,20.283105468750023,0.4643972589453626,10.220834984978609,2,forte,0.0126357738662213,Segundo,0.26830503
464,20.24068603515628,0.4662104100701603,10.168256679584331,1,forte,0.0129939477456116,Primeiro,0.26830503
465,17.901818847656273,0.4676970854578783,7.690649092525398,1,forte,0.0127851967619214,Primeiro,0.22453511
470,18.949609375000023,0.4602251653540932,8.36127277314511,2,forte,0.0138753343283763,Segundo,0.22453511
471,18.436578369140648,0.4628132490444571,8.092763555566043,1,forte,0.0141454787420267,Primeiro,0.22453511
479,33.88411865234377,0.4483327339748015,3.3712205078023905,8,forte,0.0121008687538137,Oitavo,0.29277238
480,32.83394775390627,0.4553991308817158,6.869000625420186,7,forte,0.0114769171499619,Sétimo,0.29277238
519,25.308435058593773,0.4826501894386904,7.575314878796534,2,forte,0.0123787555417613,Segundo,0.249742
520,20.197381591796898,0.5127067458997228,7.244049014862857,1,forte,0.0113453487256944,Primeiro,0.249742
535,21.575830078125023,0.5067520737729798,6.455304426041123,1,forte,0.0109824057993777,Primeiro,0.249742
536,21.317071533203148,0.5067357320424488,6.613261641356706,2,forte,0.0114666583462169,Segundo,0.249742
537,20.89693603515628,0.5089492229628189,6.721668010084022,1,forte,0.0112415820251902,Primeiro,0.249742
538,20.49776611328128,0.5110095446075897,6.908197287685752,1,forte,0.0111608266770613,Primeiro,0.249742
543,19.530541992187523,0.4671120081362155,6.89656849014174,1,forte,0.0115756884847449,Primeiro,0.22520486
547,21.652917480468773,0.4449935082767431,9.059656435183053,2,forte,0.0125882623093614,Segundo,0.22520486
548,21.15108642578128,0.453976758299778,7.954316151501042,2,forte,0.0132703085807162,Segundo,0.22520486
549,20.59786376953128,0.4569459357734763,7.62114746962746,2,forte,0.0139226156424759,Segundo,0.22520486
550,20.027612304687523,0.4612659892728366,7.27634480171513,1,forte,0.0129682145383015,Primeiro,0.22520486
605,20.67647705078128,0.4618545311364764,8.471806499242255,8,forte,0.010124678404267,Oitavo,0.2255151
614,23.097833251953148,0.4379903108174333,9.23323209047888,2,forte,0.0100135671226279,Segundo,0.2255151
615,22.589379882812523,0.4401741967297288,8.977050062756877,2,forte,0.0112451348722835,Segundo,0.2255151
616,22.219079589843773,0.4430342970907427,8.701182472395947,2,forte,0.0111862348088813,Segundo,0.2255151
617,22.372857666015648,0.4434074731015444,8.186718687627572,2,forte,0.0143187157017747,Segundo,0.2255151
619,21.205102539062523,0.4557945552872677,8.004854102072164,1,muito_forte,0.0156880068462473,Primeiro,0.2255151
628,26.201440429687523,0.5140715783954743,13.716155949430668,8,forte,0.0110167381015216,Oitavo,0.31459302
656,20.132226562500023,0.4978645511608628,7.846673031222875,1,forte,0.0121144223518413,Primeiro,0.2520747
657,20.48409423828128,0.5001982130870176,7.018572639166895,1,forte,0.0103936193804034,Primeiro,0.2520747
666,21.32027587890628,0.4897375248767127,7.930727642450913,2,forte,0.0108248444359347,Segundo,0.2520747
667,20.969567871093773,0.4913992234018954,7.867137615189603,2,forte,0.011873756681885,Segundo,0.2520747
668,20.506677246093773,0.4944822961218585,7.702153512277234,1,forte,0.0119837262352646,Primeiro,0.2520747
673,28.453393554687523,0.4409827799360106,10.678698175493315,1,forte,0.0109512258606674,Primeiro,0.22476675
674,31.770654296875023,0.420201304404976,13.62409575573918,1,forte,0.0105261364828648,Primeiro,0.22476675
723,25.671472167968773,0.4499695959690883,8.38007283620677,2,forte,0.0143588825328327,Segundo,0.22401585
724,24.95552978515628,0.4545316059942763,6.89118644733357,2,muito_forte,0.0175293488741171,Segundo,0.22401585
734,25.775048828125023,0.5091476610055341,11.615004898418045,8,forte,0.0123858878318413,Oitavo,0.44600484
735,26.27120361328128,0.505195597629938,12.681462330650993,8,forte,0.0139630204451396,Oitavo,0.44600484
736,26.404870605468773,0.5043383275175127,13.123628581732483,8,forte,0.0130509127342026,Oitavo,0.44600484
830,21.277124023437523,0.4665670716755637,9.806985434835246,1,forte,0.0138733097437183,Primeiro,0.23343079
831,21.763055419921898,0.4667854182850638,8.883879107469411,1,forte,0.0138678083265779,Primeiro,0.23343079
