,skinTemp,RH,windspeed,windquad,UHIn,windquad_cat,surface_pressure,NDVI
1344,26.63668212890628,0.4540304888563414,7.561189489910112,8,4,Oitavo,98637.22,0.31116652
1345,26.122949218750023,0.4579947362395989,7.080152361714924,8,4,Oitavo,98578.45,0.31116652
1346,25.177331542968773,0.4637128123368426,6.99954515984983,1,4,Primeiro,98534.5,0.31116652
1347,24.927545166015648,0.4659774157963984,6.9485996282036,1,4,Primeiro,98555.39,0.31116652
1348,24.23043212890628,0.4693464847346779,7.774014152551762,1,4,Primeiro,98582.4,0.31116652
1349,32.47042236328127,0.5135154387426757,4.907666945041065,3,4,Terceiro,98493.78,0.44508928
1350,14.960229492187525,0.5386228618479619,1.380387683690662,7,4,Sétimo,99459.32,0.3428906
1351,18.425317382812523,0.5279607575498018,5.8284000711583595,4,4,Quarto,99422.42,0.3428906
1352,17.604211425781273,0.5296877316800199,4.5193923971580645,4,4,Quarto,99417945.0,0.3428906
1353,16.927575683593773,0.5263950000602573,3.2022994475961637,5,4,Quinto,99372664.0,0.3428906
1354,16.404656982421898,0.5264094550455471,2.665625755308424,6,4,Sexto,99335.15,0.3428906
1355,16.049523925781273,0.5315526081973221,2.063123768799704,6,4,Sexto,99343.11,0.3428906
1356,15.675592041015648,0.5345076122119884,2.3245657941030764,6,4,Sexto,99363.41,0.3428906
1357,15.320642089843773,0.5367664894492196,1.881390502980992,6,4,Sexto,99411.09,0.3428906
1358,15.675012207031273,0.5158804166673436,3.3104522714970313,6,4,Sexto,99630.67,0.38338462
1359,19.88619384765628,0.514724622466656,6.728049630767681,4,4,Quarto,99593.25,0.38338462
1360,18.821435546875023,0.5186123635963867,5.197965900973606,3,4,Terceiro,99594.88,0.38338462
1361,17.925073242187523,0.5108932157107962,3.5901351288921766,3,4,Terceiro,99589.42,0.38338462
1362,17.206323242187523,0.5076856219949519,1.9120057110223778,3,4,Terceiro,99562.8,0.38338462
1363,15.847711181640648,0.5116254796636651,2.1790489071282413,6,4,Sexto,99561.64,0.38338462
1364,17.650048828125023,0.5100751821614165,2.4040475520836155,6,5,Sexto,99604.09,0.38352796
1365,17.849603271484398,0.5206112092709467,2.980566829383775,7,4,Sétimo,99682.21,0.38352796
1366,19.56588134765628,0.5158193759712209,5.3565233481885635,5,4,Quinto,99572.28,0.38352796
1367,19.280175781250023,0.5175579126443728,3.8964471260565094,4,4,Quarto,99516.09,0.38352796
1368,19.007226562500023,0.5136301597722394,3.017369811798088,5,5,Quinto,99528.14,0.38352796
1369,18.501062011718773,0.5090745366084793,2.2455869437555767,5,5,Quinto,99565.06,0.38352796
1370,23.427819824218773,0.5091102553781618,6.890127904147098,5,4,Quinto,98850.66,0.3121118
1371,23.576013183593773,0.5088991523872038,7.250498338916253,4,4,Quarto,98810.21,0.3121118
1372,37.19576416015627,0.4934034547431021,2.827619730490452,1,4,Primeiro,98712125.0,0.39667457
1373,37.13796386718752,0.4853625884539444,1.3773221013823143,8,4,Oitavo,98564.56,0.39667457
1374,30.495690917968773,0.5140479348493914,4.485581609381681,1,4,Primeiro,98564414.0,0.39667457
1375,20.763940429687523,0.5379130862869967,4.459467497517418,6,4,Sexto,99174.56,0.42196208
1376,21.694238281250023,0.5249070926265873,1.5967223775913708,3,4,Terceiro,99054.08,0.42196208
1377,17.130883789062523,0.5083135515804833,2.1730948299369683,7,4,Sétimo,99642.17,0.3740876
1378,17.826470947265648,0.5116177927089125,1.6108551307797245,7,4,Sétimo,99723.41,0.3740876
1379,20.220544433593773,0.5003502469199964,7.074667629586904,3,4,Terceiro,99603.8,0.3740876
1380,19.277917480468773,0.5053949537244593,5.490762417545628,3,4,Terceiro,99611016.0,0.3740876
1381,18.761163330078148,0.4936820377698292,3.7300986782989907,2,4,Segundo,99608.7,0.3740876
1382,17.958703613281273,0.494530362890662,3.091985646814323,2,4,Segundo,99542.8,0.3740876
1383,17.125329589843773,0.5066419567006832,1.8883772955522686,8,4,Oitavo,99586484.0,0.3740876
1384,34.37758789062502,0.4959830749342331,6.509633558866778,1,4,Primeiro,98612.95,0.39697623
1385,22.955163574218773,0.5424888149058511,5.273354905984829,4,4,Quarto,99311734.0,0.46475887
1386,24.5876403808594,0.5085564824006342,9.73203313041942,4,4,Quarto,99348.25,0.31140694
1387,33.15017089843752,0.5065962153895557,3.372749597435295,8,4,Oitavo,98592.01,0.46677384
1388,30.95748291015628,0.505841479255402,3.1345111169977127,4,4,Quarto,98637.66,0.46677384
1389,29.02315673828128,0.5134963949598519,3.484343411127088,4,4,Quarto,98617.91,0.46677384
1390,31.131768798828148,0.4811952785250817,0.6130616389643031,2,4,Segundo,99229.85,0.3063955
1391,22.334313964843773,0.4837522176589469,5.7722812583353065,4,4,Quarto,99032.01,0.31366295
1392,22.893579101562523,0.4694847869708233,5.824485076853728,4,4,Quarto,98927.11,0.31366295
1393,23.55928955078128,0.4910443149043964,6.027784990815435,1,4,Primeiro,99200.08,0.3132819
1394,24.885644531250023,0.4819078847193006,6.240396516285568,1,4,Primeiro,99090.81,0.3132819
1395,24.362359619140648,0.4841287247808622,6.363383788839896,1,4,Primeiro,99087945.0,0.3132819
1396,29.657861328125023,0.5052124691104887,4.6810864569946435,3,4,Terceiro,98685.8,0.44796005
1397,33.41768798828127,0.5035155020383679,7.923967857269204,3,4,Terceiro,98716.33,0.40119267
1398,33.03865966796877,0.4989183910743323,10.411037552671328,5,4,Quinto,98684.59,0.40119267
1399,38.12484130859377,0.4837129510214872,5.668282931770801,8,4,Oitavo,98498.59,0.4637132
1400,19.393945312500023,0.5335547271621364,3.454125715673608,1,4,Primeiro,99280.14,0.3981982
1401,22.94820556640628,0.5215244110730636,3.9018503273026144,3,4,Terceiro,99370.22,0.3981982
1402,22.123559570312523,0.5218471867697178,3.5276352214649545,2,4,Segundo,99359234.0,0.3981982
1403,21.453912353515648,0.5212123055280707,3.0641141207696925,2,4,Segundo,99314984.0,0.3981982
1404,20.95504150390628,0.5244694408105927,3.0537351246843096,1,4,Primeiro,99255.14,0.3981982
1405,20.465600585937523,0.5304901610360512,3.795818836050658,1,4,Primeiro,99213.94,0.3981982
1406,20.06905517578128,0.5333773173099583,4.0451123631180295,1,4,Primeiro,99207.44,0.3981982
1407,19.73360595703128,0.5329230338986028,3.5512050074593566,1,4,Primeiro,99238336.0,0.3981982
