,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat
3694,14.574670410156273,0.5227399709902523,4.193884914867583,8.0,muito_forte,0.0161015718621178,Oitavo
3856,27.724420166015648,0.5069731907207834,1.7494463988089533,5.0,forte,0.0102982648774207,Quinto
3972,22.800805664062523,0.4922737509359785,8.944196885006102,1.0,forte,0.0115293989799689,Primeiro
3977,22.44649658203128,0.4939660260525125,9.2854620790046,1.0,forte,0.0123144289924738,Primeiro
3978,22.482598876953148,0.4939031951638902,9.153719993470192,1.0,forte,0.0127125890980387,Primeiro
3979,22.22579345703128,0.4962631971819909,9.225556172146938,1.0,forte,0.0113538979569778,Primeiro
3980,22.261560058593773,0.4969689044089975,9.13927130903497,1.0,forte,0.0101411420384244,Primeiro
3984,28.96187744140628,0.4484218991608932,2.1909569674209735,3.0,muito_forte,0.0160389311104655,Terceiro
4242,20.055322265625023,0.5277011283580633,2.8844077102817565,2.0,forte,0.0129563826196821,Segundo
4243,19.304040527343773,0.5318409821684277,3.322793920838002,1.0,muito_forte,0.0164891924176088,Primeiro
4244,18.441003417968773,0.5361391683638493,3.766176329121718,1.0,forte,0.0138537479510553,Primeiro
4245,18.804101562500023,0.5338083459231466,2.8434620174389527,8.0,extremo,0.0257386120743672,Oitavo
4246,17.832360839843773,0.538214671770263,3.4343780894391416,8.0,muito_forte,0.017459456082253,Oitavo
4298,23.219873046875023,0.5285535713105118,3.0716096422460124,8.0,forte,0.0101762674781343,Oitavo
4406,28.807397460937523,0.5059609124557958,5.253141113160234,2.0,forte,0.0127265349451775,Segundo
4418,23.30660400390628,0.5426240896939215,2.400587995731737,2.0,forte,0.0126923797821959,Segundo
4439,23.647363281250023,0.5410454919531672,1.8788788270931804,1.0,forte,0.0102025697024103,Primeiro
4690,30.62398681640628,0.494060237154924,14.387949277340981,1.0,forte,0.0121038648485267,Primeiro
4730,23.241235351562523,0.5395483795777675,1.9195252591343548,1.0,forte,0.0125783860884425,Primeiro
4751,23.438836669921898,0.5388757247896002,1.9130431341024159,2.0,forte,0.0110718690468925,Segundo
4772,23.201745605468773,0.5222478552270596,2.439729272218179,8.0,muito_forte,0.0152847414345317,Oitavo
4773,22.558679199218773,0.5259762808665966,2.8970223719183745,8.0,muito_forte,0.0174309514342469,Oitavo
4774,21.896325683593773,0.5303058801138215,3.310649838529046,8.0,forte,0.0149025984492294,Oitavo
4775,21.384790039062523,0.5335411651465503,3.4800603213223744,8.0,forte,0.0107519650258683,Oitavo
5114,13.592279052734398,0.5180524311372381,6.866311235260925,5.0,forte,0.0137561665066305,Quinto
5115,13.910546875000025,0.5190096349894378,5.538333235771923,5.0,forte,0.0106683953347487,Quinto
5134,14.450128173828148,0.5137590285689582,7.426233236216774,5.0,forte,0.0110218174071264,Quinto
5135,14.006036376953148,0.5158031425231351,7.067746432099383,5.0,forte,0.0124660115501853,Quinto
5353,24.865563964843773,0.499291065250397,4.214044827537164,2.0,forte,0.0135630246021816,Segundo
5376,26.222985839843773,0.4825566273964814,3.116020770586951,3.0,forte,0.0120125024511581,Terceiro
5426,23.767388916015648,0.503590994125149,6.2372226602904135,8.0,forte,0.0135418544206739,Oitavo
5427,25.171289062500023,0.5003134214936745,4.531887059913308,8.0,forte,0.0100268885569823,Oitavo
5443,25.19991455078128,0.4924946144424556,6.85503858852631,8.0,forte,0.0107223370853969,Oitavo
5444,24.811639404296898,0.4950626346707049,6.7247906466606135,8.0,forte,0.0123661765305673,Oitavo
5445,24.634851074218773,0.4960886788403463,5.666104002552289,8.0,forte,0.0119838659952722,Oitavo
5446,24.24996337890628,0.4987562014422022,5.947558165547821,8.0,forte,0.0135662404897286,Oitavo
5447,23.942773437500023,0.5007424280708291,6.285688302361756,8.0,forte,0.0143094748395235,Oitavo
5663,20.984735107421898,0.5414502084214777,6.169070543340874,5.0,forte,0.010546296289464,Quinto
6038,27.658044433593773,0.4909297150874777,10.337108363376487,2.0,forte,0.0143025203746099,Segundo
6261,21.144616699218773,0.5088871765150018,3.893643290499693,1.0,muito_forte,0.0171504737925774,Primeiro
6262,20.858239746093773,0.5099996387205046,3.642889673158911,1.0,extremo,0.0220697322619764,Primeiro
