,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat
186,26.545678710937523,0.4793241316183622,1.0685436271698476,2.0,muito_forte,0.0154196059469339,Segundo
187,25.506219482421898,0.4877337753516692,2.2814092746961774,8.0,extremo,0.0221247102968385,Oitavo
188,24.122216796875023,0.4995345807526355,3.4288825839325074,8.0,forte,0.0111436070606925,Oitavo
351,28.8893981933594,0.4980881858707728,8.439759172720523,1.0,forte,0.0103497354506129,Primeiro
1106,21.71309814453128,0.4769501700731706,7.387342697840314,1.0,forte,0.0101896808774447,Primeiro
1129,31.099267578125023,0.4003521454049277,1.2818423809829433,1.0,forte,0.0117450405204088,Primeiro
1208,32.29177246093752,0.4681820819000768,9.133717073338659,1.0,forte,0.0109582602468281,Primeiro
1416,31.098229980468773,0.3907826414892111,3.9153879271838834,8.0,forte,0.0103477391912273,Oitavo
2013,25.406518554687523,0.4667667088455472,2.7836780477784413,2.0,muito_forte,0.0166185568675433,Segundo
2014,25.161462402343773,0.4686023948977567,1.8009088558426627,1.0,forte,0.0118158108761049,Primeiro
2015,24.2839294433594,0.4759030013550702,3.3443416473214285,8.0,muito_forte,0.0154866228316693,Oitavo
2232,27.83199462890628,0.4174086885854374,2.694080649189945,2.0,forte,0.0131163829556376,Segundo
2258,22.543542480468773,0.4963981060479858,2.7213069399777123,7.0,muito_forte,0.0190148629296422,Sétimo
2279,23.215356445312523,0.4893092967966734,2.7413074098971575,7.0,muito_forte,0.018224588636605,Sétimo
2779,23.385400390625023,0.5118101840425314,2.281553267336864,3.0,muito_forte,0.0174271734583403,Terceiro
2780,22.739038085937523,0.5158445050207243,2.0496728490225595,2.0,muito_forte,0.0180565690726981,Segundo
2808,27.65084228515628,0.4385638995720208,3.2922616836029737,2.0,forte,0.0134044020227471,Segundo
2844,28.422448730468773,0.4185694600870421,11.351777435407731,1.0,forte,0.0105300839988888,Primeiro
2849,27.913659667968773,0.4172606168153202,11.36767327996696,1.0,forte,0.0113594531686402,Primeiro
2850,27.302423095703148,0.4184657746286665,11.006497623051178,1.0,forte,0.0112168946381422,Primeiro
2851,26.543511962890648,0.4224920246499977,10.341086784517302,1.0,forte,0.0109888886982933,Primeiro
2852,25.660913085937523,0.4289013543680623,9.86014667969704,1.0,forte,0.0101100386047545,Primeiro
3140,26.02340087890628,0.455771231371215,1.5013455062745362,8.0,extremo,0.0218103974381045,Oitavo
3156,30.153955078125023,0.4272866706152262,4.073460255151607,3.0,forte,0.0110966169434388,Terceiro
3257,28.35640869140628,0.466725930544543,7.084406333571878,1.0,forte,0.0104248190508201,Primeiro
3258,27.90035400390628,0.4679186009747508,7.816249756933628,1.0,forte,0.0113068461687007,Primeiro
3259,27.938562011718773,0.464594957547694,8.620844754426756,8.0,forte,0.0131334686812622,Oitavo
3260,27.91451416015628,0.4615918285953039,10.275101399856755,8.0,forte,0.0126252033417959,Oitavo
