,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat,NDVI
7,24.57711181640628,0.4740513860819842,3.2276234366502106,2,extremo,0.0398658800292754,Segundo,0.29261082
34,22.584527587890648,0.5097777841848959,9.6384892486095,8,forte,0.0110753144698641,Oitavo,0.35866985
37,23.472283935546898,0.5136312865683649,7.322740939068366,1,forte,0.0102779009539939,Primeiro,0.35866985
38,22.989801025390648,0.5158784336032677,7.80813884794529,1,forte,0.0101256470749517,Primeiro,0.35866985
39,22.774743652343773,0.5160034259599805,7.979785399756558,1,forte,0.0100730208134372,Primeiro,0.35866985
45,22.096948242187523,0.5311918241349972,8.776935717963262,5,forte,0.0105748150996893,Quinto,0.35965848
89,20.63619384765628,0.50248954806564,11.370028511952606,6,forte,0.0132010090764735,Sexto,0.34181416
93,28.857598876953148,0.4445920603145898,8.2312616764398,1,forte,0.0100560450325361,Primeiro,0.34044176
94,28.301538085937523,0.4486295877427882,7.679166281420837,8,forte,0.0132204042898466,Oitavo,0.34044176
95,27.53731689453128,0.4540304888563414,7.561189489910112,8,forte,0.0147495917456438,Oitavo,0.34044176
96,26.98262939453128,0.4579947362395989,7.080152361714924,8,muito_forte,0.0161328002729074,Oitavo,0.34044176
97,26.157281494140648,0.4637128123368426,6.99954515984983,1,muito_forte,0.0151860067794169,Primeiro,0.34044176
98,26.154565429687523,0.4659774157963984,6.9485996282036,1,forte,0.0120359749200144,Primeiro,0.34044176
114,21.201440429687523,0.5108932157107962,3.5901351288921766,3,forte,0.0134161352688518,Terceiro,0.36827114
132,19.873437500000023,0.5083135515804833,2.1730948299369683,7,muito_forte,0.0176792124230698,Sétimo,0.35150483
136,22.367211914062523,0.4936820377698292,3.7300986782989907,2,muito_forte,0.018344926689467,Segundo,0.35150483
137,21.908868408203148,0.494530362890662,3.091985646814323,2,extremo,0.0357351773796041,Segundo,0.35150483
138,20.067163085937523,0.5066419567006832,1.8883772955522686,8,muito_forte,0.0188856531966644,Oitavo,0.35150483
155,32.1435485839844,0.4837129510214872,5.668282931770801,8,forte,0.0106371013188887,Oitavo,0.3538283
156,21.217126464843773,0.5335547271621364,3.454125715673608,1,forte,0.011517538475046,Primeiro,0.40220997
157,24.524072265625023,0.5215244110730636,3.9018503273026144,3,forte,0.0124620869106868,Terceiro,0.40220997
158,24.054864501953148,0.5218471867697178,3.5276352214649545,2,muito_forte,0.0184498074274118,Segundo,0.40220997
159,23.80904541015628,0.5212123055280707,3.0641141207696925,2,extremo,0.0264436340509387,Segundo,0.40220997
160,23.218194580078148,0.5244694408105927,3.0537351246843096,1,extremo,0.0256170488883631,Primeiro,0.40220997
