,skinTemp,RH,windspeed,windquad,UHIp,windquad_cat,surface_pressure
2414,32.6008239746094,0.5121044291992927,10.0546813209388,2,muito_forte,Segundo,985.4001
2415,28.85714111328128,0.5273576157361327,11.21561003971411,2,muito_forte,Segundo,986.83
2416,26.043603515625023,0.5330473455608989,6.428417040165217,2,forte,Segundo,987.8705
2452,31.971459960937523,0.4963936031848268,1.385558765917858,3,muito_forte,Terceiro,990.0095
2640,26.476464843750023,0.516522077711617,4.310232043922267,3,forte,Terceiro,985.2057
2641,26.43746337890628,0.5184514556660366,6.633072313933752,2,forte,Segundo,986.7434
2644,32.36110839843752,0.4949876188017789,6.784450632796222,8,forte,Oitavo,987.765
2645,36.35469970703127,0.4853215904701785,4.105431973367928,8,forte,Oitavo,988.4641
2646,38.47127685546877,0.4826743695100894,1.718517856190218,8,forte,Oitavo,988.2781
2647,40.86617431640627,0.4756369803757632,1.1967846462349134,4,muito_forte,Quarto,987.7242
2648,40.76226196289065,0.474183030367443,3.5128042483041964,4,forte,Quarto,986.6259
2649,41.97600708007815,0.4667554846589828,4.207704874529276,5,muito_forte,Quinto,985.2124
2650,40.60347900390627,0.4675635222995859,1.1432439467724542,5,forte,Quinto,984.27375
2651,36.96108398437502,0.495857571783968,12.252564888708443,8,forte,Oitavo,985.43195
2652,25.82882080078128,0.5190250229285615,7.2492036201400545,1,forte,Primeiro,987.1786
2653,32.24025878906252,0.5092065016532938,12.281077002469855,8,muito_forte,Oitavo,985.8831
2654,28.798181152343773,0.5137342681963584,9.5046911146668,1,forte,Primeiro,985.5544
2655,27.089501953125023,0.516835711279088,8.370243556818163,1,forte,Primeiro,986.0006
2657,25.6227966308594,0.5173358795848187,8.215062026335978,1,forte,Primeiro,987.4387
2658,25.362145996093773,0.5174067886374456,7.638350929285979,1,forte,Primeiro,986.7875
2659,25.0793395996094,0.5186864797401692,7.764755375343665,1,forte,Primeiro,985.8946
2660,24.86031494140628,0.5201749137522108,6.983283010146851,1,forte,Primeiro,985.80734
2661,24.55709228515628,0.5185407827287909,5.523262138378555,8,forte,Oitavo,985.3878
2662,24.465600585937523,0.520394020118779,5.983163865271241,1,forte,Primeiro,985.8079
2663,24.333337402343773,0.5226178661475339,6.342161834954565,1,forte,Primeiro,985.9755
2932,32.01360473632815,0.5022481621378715,2.070956433540285,1,forte,Primeiro,990.2005
2933,36.1129089355469,0.4865718991777351,1.9479897214263946,1,forte,Primeiro,990.50016
2934,38.69277343750002,0.4745675193710239,1.4667690141228598,1,muito_forte,Primeiro,990.0567
2935,40.48397216796877,0.4670040257393151,1.705309014063577,1,muito_forte,Primeiro,989.3676
2936,41.33760986328127,0.4627958137271682,1.6478496539747003,2,muito_forte,Segundo,988.5569
2937,42.43703613281252,0.4601151052931117,0.6553526531227319,2,extremo,Segundo,987.2236
2938,41.9962097167969,0.4572787230609088,0.7782652882279055,6,extremo,Sexto,985.5625
2939,41.0147644042969,0.4491699329958703,3.998083255618211,1,extremo,Primeiro,984.2814
2941,38.64608154296877,0.457624478458916,5.380398598620121,2,extremo,Segundo,983.1083
2942,34.75490722656252,0.4607385210160869,5.857557684547478,2,extremo,Segundo,983.01625
2943,32.11275634765627,0.4673997393886359,5.427154706236211,3,muito_forte,Terceiro,984.1821
2944,30.24263916015628,0.4761330383671437,5.327122162562677,3,muito_forte,Terceiro,985.3952
2950,23.926293945312523,0.5309166229864544,3.793066759271982,8,forte,Oitavo,987.7105
2951,23.644189453125023,0.5347175956730089,3.5536205970902635,1,forte,Primeiro,988.2366
3146,20.009667968750023,0.4957621969142686,6.2188836082076655,5,forte,Quinto,990.1961
3165,21.140405273437523,0.4881358597734981,6.031439344063409,5,forte,Quinto,988.3645
3166,20.553125000000023,0.491406622622588,6.398147895043889,5,forte,Quinto,988.7108
3167,20.123895263671898,0.4933082239403956,6.791018366298831,5,forte,Quinto,989.4394
3179,30.648278808593773,0.4990967753646406,11.845918458233065,8,forte,Oitavo,984.626
3216,27.86470947265628,0.490092738424508,5.810995017128198,3,forte,Terceiro,989.6608
3217,26.767510986328148,0.4967913864881755,8.059501696188443,2,forte,Segundo,990.68984
3222,37.66765747070315,0.4784556326404328,9.976590618677925,1,forte,Primeiro,991.5345
3223,39.39748535156252,0.4731022844768597,9.949348829652429,1,forte,Primeiro,991.0847
3224,40.78215942382815,0.4700779597851033,9.24662617604534,1,forte,Primeiro,990.1586
3225,40.5793395996094,0.4634853403254252,7.985394419029923,1,forte,Primeiro,988.8905
3226,39.36281738281252,0.4601790234020954,6.852232742598294,1,forte,Primeiro,987.4678
3227,38.89788208007815,0.4544348558948565,7.375666138816235,8,forte,Oitavo,987.324
3229,36.65627441406252,0.4667306965220313,8.326354569364286,1,forte,Primeiro,986.55516
3230,32.9649597167969,0.4735095487797763,7.734072396037456,8,forte,Oitavo,987.0897
3248,32.14095458984377,0.5033600787945574,10.092331891078121,8,forte,Oitavo,986.4668
3249,32.53908691406252,0.4989787504725083,10.101835922058346,7,forte,Sétimo,985.0537
3434,16.837701416015648,0.4957105363541134,5.790616914484367,5,forte,Quinto,991.4994
3452,18.130395507812523,0.4953359161686798,6.374789072221741,5,forte,Quinto,991.7563
3453,17.747277832031273,0.4921349761382735,6.540928489412787,5,forte,Quinto,991.079
3454,17.439385986328148,0.4931581617426614,6.148585627421359,5,forte,Quinto,990.9654
3455,17.124780273437523,0.4942442612515778,6.015144053449354,5,forte,Quinto,990.92375
3504,29.178765869140648,0.4833882769071002,5.274964305341097,2,muito_forte,Segundo,986.3842
3505,28.304284667968773,0.4902964361958621,5.085696348975315,2,forte,Segundo,986.8524
