,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat,NDVI
13,20.199548339843773,0.5185949117759889,8.038529434490064,5,forte,0.0143437712213664,Quinto,0.40052894
14,20.41842041015628,0.5195742883613199,6.653187159325779,5,forte,0.0134504455328196,Quinto,0.40052894
18,21.33736572265628,0.5130751517592873,8.704360574077668,5,forte,0.0106783569069859,Quinto,0.40052894
19,21.098657226562523,0.5133765051535614,8.562156164028634,5,forte,0.011719542292799,Quinto,0.40052894
20,20.6205993652344,0.515759685248514,8.46448100582671,5,forte,0.0126455093352197,Quinto,0.40052894
21,20.63546142578128,0.4955860771364098,2.0220168040836515,2,extremo,0.0269514650719139,Segundo,0.33314416
24,21.355126953125023,0.4904478140950353,1.6318238750349876,3,forte,0.013642226318102,Terceiro,0.33314416
28,12.791802978515648,0.514417900580578,7.362081115871026,5,forte,0.0121668697886106,Quinto,0.4568528
35,13.198693847656273,0.5117082438174477,7.78342157576645,5,forte,0.0115798107083537,Quinto,0.4568528
36,19.26851806640628,0.527296471835314,3.210150126810834,8,muito_forte,0.0187348389339947,Oitavo,0.39859322
37,19.613854980468773,0.5264696655938176,1.9330900925417174,1,forte,0.0116466499793248,Primeiro,0.39859322
42,21.444238281250023,0.5126746530316111,3.2435428421450605,7,forte,0.0148975748019057,Sétimo,0.39859322
43,21.32808837890628,0.5127022708297607,2.72597700114106,7,extremo,0.0295090621433363,Sétimo,0.39859322
44,20.182305908203148,0.5211639361914925,3.360091408617461,8,extremo,0.0271650556449993,Oitavo,0.39859322
45,19.202172851562523,0.5278306738997202,3.834605870344087,8,muito_forte,0.0156765563382794,Oitavo,0.39859322
47,24.10079345703128,0.5068511208393162,1.4031161432497214,2,muito_forte,0.0196396017697352,Segundo,0.4900504
52,14.841577148437525,0.4940027684896039,8.040907701129877,5,forte,0.0127705986553484,Quinto,0.44591925
53,13.946130371093773,0.5018251069169014,7.809458800045984,5,forte,0.0148767510196928,Quinto,0.44591925
60,21.012841796875023,0.4867507761883564,3.685134865858703,1,extremo,0.0420323045947057,Primeiro,0.39649123
61,19.72066650390628,0.4966966296386874,4.183153957844217,1,extremo,0.0320243920707431,Primeiro,0.39649123
62,19.239343261718773,0.5020312010746815,4.412134056212252,1,extremo,0.0262329900536972,Primeiro,0.39649123
67,12.659570312500025,0.5205545494242944,2.859336526779962,8,extremo,0.022925014159227,Oitavo,0.42961505
72,15.849816894531273,0.4973054063166371,2.6400351661427743,8,forte,0.0134609111499861,Oitavo,0.42961505
73,14.754357910156273,0.5051711897682742,3.8716163489118953,8,extremo,0.0390585582922951,Oitavo,0.42961505
74,13.081140136718773,0.5171137620760053,4.511946723976793,8,extremo,0.0392470308738768,Oitavo,0.42961505
75,12.213159179687525,0.5229221160199765,4.5503570727325355,8,extremo,0.0238343929056821,Oitavo,0.42961505
76,12.198571777343773,0.5231223511570122,3.9380797562637935,8,extremo,0.0207738844221884,Oitavo,0.42961505
89,33.80581054687502,0.4423220090977297,9.79648135723959,4,extremo,0.0210083695923793,Quarto,0.31114975
93,16.568566894531273,0.5014160757534711,6.9557039531579035,5,forte,0.0103565766939825,Quinto,0.33765137
122,17.906945800781273,0.529489712043803,6.178409332637186,5,forte,0.0113950256085739,Quinto,0.39909807
126,20.26558837890628,0.511650894281032,7.571047160861856,5,forte,0.0102394358442291,Quinto,0.39909807
127,19.74874267578128,0.5153556415803408,6.970344545838845,5,forte,0.0120051762676506,Quinto,0.39909807
128,19.102319335937523,0.5215594081036696,6.828925479984393,5,forte,0.0136118444398636,Quinto,0.39909807
129,18.689294433593773,0.5241529055866503,7.051639019586097,5,muito_forte,0.015306169671132,Quinto,0.39909807
130,18.32784423828128,0.5261949579356315,6.903340980849246,5,muito_forte,0.0159419383007455,Quinto,0.39909807
131,28.052545166015648,0.5070596361803477,8.252723904330619,8,forte,0.0113096514884689,Oitavo,0.32911107
132,21.414086914062523,0.5113233108763043,3.9915573127079695,2,extremo,0.0206977691211286,Segundo,0.350057
134,21.78292236328128,0.5086057160883038,4.401115172407128,3,forte,0.0129272085103626,Terceiro,0.350057
157,22.652368164062523,0.526197801394506,6.5701540290441205,5,forte,0.0102155677812535,Quinto,0.36637565
162,20.68551025390628,0.5308802145706325,7.329358920964773,5,muito_forte,0.0157445376866852,Quinto,0.36527622
163,21.332055664062523,0.5283217048642151,6.50863973582264,5,forte,0.0141506296055023,Quinto,0.36527622
165,22.484033203125023,0.5189255569036607,7.365463964211518,5,forte,0.0113620213341569,Quinto,0.36527622
166,21.819726562500023,0.523478599520911,6.8170130119713885,5,forte,0.0117042047491238,Quinto,0.36527622
167,21.155297851562523,0.5279464077360082,6.797289248207809,5,forte,0.0124565929036922,Quinto,0.36527622
170,20.584008789062523,0.5259964625828528,2.7536899579717677,1,extremo,0.0290888129535118,Primeiro,0.35828876
176,21.480004882812523,0.5209356548773784,2.8777429016251723,7,forte,0.0107892722243749,Sétimo,0.35828876
177,21.2419372558594,0.5223041814474924,2.12634928291324,8,extremo,0.0211822169379862,Oitavo,0.35828876
