,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat,NDVI
8,28.474908447265648,0.5078677181070893,8.385661347339889,2,forte,0.0114362660852665,Segundo,0.48722044
9,19.409570312500023,0.5146080176999986,7.683576080536519,8,forte,0.0128785549142682,Oitavo,0.4600856
10,20.139978027343773,0.5057663953984836,7.525773949286924,8,forte,0.0106086079976162,Oitavo,0.4600856
29,21.314782714843773,0.5022631920476475,7.415796735389953,3,forte,0.0100008147720823,Terceiro,0.41125
33,20.188867187500023,0.5122261514800893,3.7943381831183642,2,muito_forte,0.0152496849015114,Segundo,0.41125
34,20.871118164062523,0.5034650483528927,2.217808000050855,1,extremo,0.0243499180738527,Primeiro,0.41125
35,20.795556640625023,0.504051457276957,1.4614324563814274,2,muito_forte,0.0158727961562733,Segundo,0.41125
36,20.58394775390628,0.5070149574781595,2.1443614856564572,1,extremo,0.0202754418946044,Primeiro,0.41125
37,20.228143310546898,0.5099545371910688,2.9690891203938117,2,extremo,0.0277201018787633,Segundo,0.41125
38,18.92989501953128,0.5210690617925197,4.337555795175513,2,forte,0.0146630530584371,Segundo,0.41125
39,15.740991210937525,0.5083301953152393,9.20968354704071,5,forte,0.0115374010357393,Quinto,0.37343067
42,17.442407226562523,0.5063369919790316,7.242850484431274,5,forte,0.0124864445345495,Quinto,0.37343067
43,16.879846191406273,0.5090731334318555,7.5531035392616745,5,forte,0.0144622557451579,Quinto,0.37343067
44,16.577600097656273,0.5106133127063593,7.888133474589225,5,muito_forte,0.0165810152767049,Quinto,0.37343067
45,16.258325195312523,0.5107023739674564,8.462455603458528,5,muito_forte,0.0159563504998969,Quinto,0.37343067
46,16.007714843750023,0.5097800288150416,8.799752223299025,5,forte,0.014230164734027,Quinto,0.37343067
47,22.507440185546898,0.5111871855006986,2.5831757782838842,2,extremo,0.0243551741462657,Segundo,0.3527597
83,28.807397460937523,0.5059609124557958,5.253141113160234,2,forte,0.0127265349451775,Segundo,0.42751235
105,13.592279052734398,0.5180524311372381,6.866311235260925,5,forte,0.0137561665066305,Quinto,0.36773428
106,13.910546875000025,0.5190096349894378,5.538333235771923,5,forte,0.0106683953347487,Quinto,0.36773428
109,14.450128173828148,0.5137590285689582,7.426233236216774,5,forte,0.0110218174071264,Quinto,0.36773428
110,14.006036376953148,0.5158031425231351,7.067746432099383,5,forte,0.0124660115501853,Quinto,0.36773428
115,23.767388916015648,0.503590994125149,6.2372226602904135,8,forte,0.0135418544206739,Oitavo,0.34794337
116,24.24996337890628,0.4987562014422022,5.947558165547821,8,forte,0.0135662404897286,Oitavo,0.34794337
117,23.942773437500023,0.5007424280708291,6.285688302361756,8,forte,0.0143094748395235,Oitavo,0.34794337
120,20.984735107421898,0.5414502084214777,6.169070543340874,5,forte,0.010546296289464,Quinto,0.41565216
123,26.081384277343773,0.5098988410872691,3.752031454944967,4,forte,0.014734099193501,Quarto,0.33000934
144,20.390710449218773,0.5191005402515847,4.730395475360704,7,forte,0.0112449936288878,Sétimo,0.33937562
170,26.016015625000023,0.4725866701410284,6.8192640072807755,4,forte,0.0124389569903401,Quarto,0.29411763
181,24.516503906250023,0.4794249066906951,7.38841855282672,3,forte,0.010502417777519,Terceiro,0.30465585
192,33.7584167480469,0.4418622160901744,12.062230165766787,8,muito_forte,0.0151810086858983,Oitavo,0.24461107
202,33.21755371093752,0.4555191091996601,6.230429723889451,7,forte,0.0148334061591704,Sétimo,0.24438202
203,28.47945556640628,0.5036012281409412,13.880813364807725,5,forte,0.0102934511244249,Quinto,0.24438202
206,23.931237792968773,0.4927034869481832,13.149885921181177,5,forte,0.0104358861573013,Quinto,0.25352448
208,24.413964843750023,0.4901631419437142,14.680981572447296,5,forte,0.0100444803170202,Quinto,0.25352448
241,24.113946533203148,0.4933360084075687,5.93580322494384,1,forte,0.0108034885500077,Primeiro,0.2775
265,19.697198486328148,0.5394625440654621,21.16745739212445,5,muito_forte,0.0168403394554551,Quinto,0.24496916
273,25.34713134765628,0.4566129548495329,8.770594454478484,2,forte,0.0100711421635915,Segundo,0.21791187
292,31.6313415527344,0.4433054874818719,8.107614138712155,5,forte,0.0103196794890872,Quinto,0.25974914
293,29.245538330078148,0.4647379885311599,16.567532403103623,5,forte,0.0142030418299844,Quinto,0.25974914
414,28.474908447265648,0.5078677181070893,8.385661347339889,2,forte,0.0114362660852665,Segundo,0.47076753
415,19.409570312500023,0.5146080176999986,7.683576080536519,8,forte,0.0128785549142682,Oitavo,0.42218542
416,20.139978027343773,0.5057663953984836,7.525773949286924,8,forte,0.0106086079976162,Oitavo,0.42218542
425,15.740991210937525,0.5083301953152393,9.20968354704071,5,forte,0.0115374010357393,Quinto,0.3385871
428,17.442407226562523,0.5063369919790316,7.242850484431274,5,forte,0.0124864445345495,Quinto,0.3385871
429,16.879846191406273,0.5090731334318555,7.5531035392616745,5,forte,0.0144622557451579,Quinto,0.3385871
430,16.577600097656273,0.5106133127063593,7.888133474589225,5,muito_forte,0.0165810152767049,Quinto,0.3385871
431,16.258325195312523,0.5107023739674564,8.462455603458528,5,muito_forte,0.0159563504998969,Quinto,0.3385871
432,16.007714843750023,0.5097800288150416,8.799752223299025,5,forte,0.014230164734027,Quinto,0.3385871
433,22.507440185546898,0.5111871855006986,2.5831757782838842,2,extremo,0.0243551741462657,Segundo,0.30896822
469,28.807397460937523,0.5059609124557958,5.253141113160234,2,forte,0.0127265349451775,Segundo,0.43953758
491,13.592279052734398,0.5180524311372381,6.866311235260925,5,forte,0.0137561665066305,Quinto,0.33466023
492,13.910546875000025,0.5190096349894378,5.538333235771923,5,forte,0.0106683953347487,Quinto,0.33466023
495,14.450128173828148,0.5137590285689582,7.426233236216774,5,forte,0.0110218174071264,Quinto,0.33466023
496,14.006036376953148,0.5158031425231351,7.067746432099383,5,forte,0.0124660115501853,Quinto,0.33466023
501,23.767388916015648,0.503590994125149,6.2372226602904135,8,forte,0.0135418544206739,Oitavo,0.3078203
502,24.24996337890628,0.4987562014422022,5.947558165547821,8,forte,0.0135662404897286,Oitavo,0.3078203
503,23.942773437500023,0.5007424280708291,6.285688302361756,8,forte,0.0143094748395235,Oitavo,0.3078203
506,20.984735107421898,0.5414502084214777,6.169070543340874,5,forte,0.010546296289464,Quinto,0.40855375
