,skinTemp,RH,windspeed,windquad,UHIp,windquad_cat,surface_pressure,NDVI
4645,36.93132934570315,0.4467944235159256,7.22574748149866,3,forte,Terceiro,98986.67,0.24370594
4646,35.63869628906252,0.4520198671452652,6.9893070889271085,4,forte,Quarto,98983445.0,0.24370594
4647,33.90206298828127,0.4538884311813518,6.178539296329838,3,forte,Terceiro,98952016.0,0.24370594
4648,32.27724609375002,0.4744793385510615,6.188384408383551,1,forte,Primeiro,99213086.0,0.27933708
4649,35.93465576171877,0.4584646327684725,8.6093666930124,1,muito_forte,Primeiro,99196.12,0.27933708
4650,38.33767089843752,0.4437442173205416,9.81294795481164,1,muito_forte,Primeiro,99163.92,0.27933708
4651,39.76607666015627,0.4340100766174585,8.73741763931426,1,muito_forte,Primeiro,99065.54,0.27933708
4652,40.57503662109377,0.4273401886016743,6.990815472139559,1,extremo,Primeiro,98971.95,0.27933708
4653,40.40535888671877,0.4228869699383711,5.137233552790857,1,extremo,Primeiro,98879625.0,0.27933708
4654,39.11739501953127,0.4177808660378878,3.7288469467356626,1,extremo,Primeiro,98787.39,0.27933708
4655,36.81868896484377,0.4182397387819548,1.6955440317101176,2,muito_forte,Segundo,98747.58,0.27933708
4656,33.3622985839844,0.4374977856718671,2.510313596522214,4,muito_forte,Quarto,98773.97,0.27933708
4657,29.65157470703128,0.4563030898301797,4.0769938850805,4,muito_forte,Quarto,98770125.0,0.27933708
4658,26.89034423828128,0.4712023577233936,3.962084091041538,4,muito_forte,Quarto,98814.87,0.27933708
4659,24.12569580078128,0.4675608050280566,3.945826153027488,3,forte,Terceiro,99202.48,0.25213802
4660,35.80092773437502,0.4433819625478912,3.2582626533829413,1,forte,Primeiro,99500.61,0.25213802
4661,39.67183837890627,0.4273893140389125,3.3936294538049774,1,muito_forte,Primeiro,99415.64,0.25213802
4662,41.9674011230469,0.4150424065120974,2.9607824959984588,8,muito_forte,Oitavo,99335.51,0.25213802
4663,42.79549560546877,0.4093717451300732,2.661202106947276,7,muito_forte,Sétimo,99239.69,0.25213802
4664,42.18624267578127,0.4087629274369201,2.131852920202901,7,muito_forte,Sétimo,99145.53,0.25213802
4665,40.36788330078127,0.409873644145617,1.9699553221633048,6,muito_forte,Sexto,99125.51,0.25213802
4666,37.3803649902344,0.4147932519197136,2.9816372260555175,5,forte,Quinto,99121.61,0.25213802
4667,33.15517578125002,0.4381769063344549,4.164928549768366,5,forte,Quinto,99107.92,0.25213802
4668,26.54390869140628,0.457350400952176,2.623617083822402,4,muito_forte,Quarto,99180.81,0.25213802
4669,34.1423278808594,0.4205224064394384,17.03143523799926,1,forte,Primeiro,99228.09,0.24632862
4670,35.86281738281252,0.4155349987042502,16.974203314508397,1,forte,Primeiro,99151.94,0.24632862
4671,37.34322509765627,0.4105878091178976,15.995552158713453,1,forte,Primeiro,99053.2,0.24632862
4672,37.9077087402344,0.4077184321366277,12.763703337907138,1,forte,Primeiro,98894266.0,0.24632862
4673,19.39498291015628,0.4618545311364764,8.471806499242255,8,muito_forte,Oitavo,99179.39,0.22621566
4674,20.435571289062523,0.4663987890249967,7.424448531367871,1,forte,Primeiro,99251055.0,0.22621566
4675,38.38771972656252,0.416174843038902,8.431345156217214,1,forte,Primeiro,99317.27,0.22621566
4676,42.5250183105469,0.4062896065075784,9.450597147190225,1,forte,Primeiro,99252055.0,0.22621566
4677,45.5867858886719,0.3799327358293137,10.153583322114134,1,forte,Primeiro,99066.03,0.22621566
4678,44.05684814453127,0.3772139281905837,8.264752354088598,1,forte,Primeiro,98961734.0,0.22621566
4679,43.51064453125002,0.3692686856740034,6.733814264415124,1,forte,Primeiro,98828195.0,0.22621566
4680,40.89022216796877,0.3738994531251642,3.8026374818510202,8,forte,Oitavo,98834625.0,0.22621566
4681,21.786920166015648,0.4368038621366542,9.421801909120513,2,forte,Segundo,99234.75,0.22621566
4682,21.321374511718773,0.4379903108174333,9.23323209047888,2,forte,Segundo,99236055.0,0.22621566
4683,20.857781982421898,0.4401741967297288,8.977050062756877,2,forte,Segundo,99149055.0,0.22621566
4684,20.581109619140648,0.4430342970907427,8.701182472395947,2,forte,Segundo,99096.39,0.22621566
4685,20.601220703125023,0.4434074731015444,8.186718687627572,2,muito_forte,Segundo,99043.73,0.22621566
4686,20.19698486328128,0.4497382398275047,7.671453060040296,1,muito_forte,Primeiro,99055.99,0.22621566
4687,19.73970947265628,0.4557945552872677,8.004854102072164,1,muito_forte,Primeiro,99098.24,0.22621566
4688,26.951745605468773,0.5140715783954743,13.716155949430668,8,muito_forte,Oitavo,99060.33,0.22143671
4689,33.28212890625002,0.5035345140627038,5.5718916763185495,1,forte,Primeiro,98982375.0,0.24855968
4690,34.87529907226565,0.5004118011251302,5.259972931418023,8,forte,Oitavo,98942.7,0.24855968
4691,28.089746093750023,0.5180636162037513,10.533574402303154,8,forte,Oitavo,99206.86,0.2495333
4692,32.04702148437502,0.5010941918182688,7.748631498683447,8,forte,Oitavo,98909.39,0.2495333
4693,33.86940917968752,0.4983288393478984,6.060649677258308,1,forte,Primeiro,98810.34,0.2495333
4694,32.28011474609377,0.5102179734484142,14.2980309433163,8,forte,Oitavo,98780.22,0.2495333
4695,34.69558105468752,0.478552648043545,4.30079494058267,4,forte,Quarto,99315.83,0.24534005
4696,35.98867187500002,0.4672584159041023,4.884617002920038,4,forte,Quarto,99254.92,0.24534005
4697,36.9931579589844,0.4542632536503301,4.373587485166927,3,forte,Terceiro,99158.8,0.24534005
4698,37.00332031250002,0.4461318974336343,3.8936105899426736,3,forte,Terceiro,99065.08,0.24534005
4699,37.65459594726565,0.4413634024783249,4.077397224008371,3,muito_forte,Terceiro,98966.94,0.24534005
4700,36.31704101562502,0.4414708551582368,4.024532704068123,3,forte,Terceiro,98934875.0,0.24534005
4701,34.70845947265627,0.4426690599135681,4.966593002280832,4,forte,Quarto,98912.65,0.24534005
4702,32.08669433593752,0.4578827472873719,6.011184470098978,4,forte,Quarto,98876.66,0.24534005
4703,24.848046875000023,0.4729177272346205,3.9500580876991394,3,forte,Terceiro,98841.59,0.27747035
4704,31.638269042968773,0.4696192366175123,6.9121664198037145,1,forte,Primeiro,99165.86,0.27747035
4705,35.60561523437502,0.4545769424486346,9.177750367725663,1,muito_forte,Primeiro,99169.96,0.27747035
