,Temp2m,RH,windspeed,windquad,UHIp2m,UTFVI2m,windquad_cat
373,32.04366455078127,0.4780266882503603,3.721881157545069,2.0,forte,0.0108746459810834,Segundo
482,20.199548339843773,0.5185949117759889,8.038529434490064,5.0,forte,0.0143437712213664,Quinto
483,20.41842041015628,0.5195742883613199,6.653187159325779,5.0,forte,0.0134504455328196,Quinto
501,21.33736572265628,0.5130751517592873,8.704360574077668,5.0,forte,0.0106783569069859,Quinto
502,21.098657226562523,0.5133765051535614,8.562156164028634,5.0,forte,0.011719542292799,Quinto
503,20.6205993652344,0.515759685248514,8.46448100582671,5.0,forte,0.0126455093352197,Quinto
506,20.614373779296898,0.5018085061102863,2.4938349146744527,7.0,extremo,0.0243532434777552,Sétimo
507,20.36617431640628,0.5059966689772998,2.0517024885810504,7.0,muito_forte,0.0192988308114725,Sétimo
523,23.674951171875023,0.4762299968180674,2.845261033863119,8.0,extremo,0.0205342554871289,Oitavo
524,22.808923339843773,0.4829806138633673,2.9773771408383776,8.0,extremo,0.0257924049612293,Oitavo
526,21.783990478515648,0.4921095385470501,2.5959356984383315,6.0,muito_forte,0.0171607416382542,Sexto
527,21.20870361328128,0.4968123865920958,2.3359634020144164,7.0,extremo,0.0209745348175319,Sétimo
530,20.63546142578128,0.4955860771364098,2.0220168040836515,2.0,extremo,0.0269514650719139,Segundo
531,20.313806152343773,0.500978642838015,1.6397368270423003,1.0,extremo,0.0231018248716272,Primeiro
551,21.355126953125023,0.4904478140950353,1.6318238750349876,3.0,forte,0.013642226318102,Terceiro
710,30.279077148437523,0.4975590981715381,7.443088739062511,3.0,forte,0.0109115905791381,Terceiro
746,12.791802978515648,0.514417900580578,7.362081115871026,5.0,forte,0.0121668697886106,Quinto
767,13.198693847656273,0.5117082438174477,7.78342157576645,5.0,forte,0.0115798107083537,Quinto
770,19.26851806640628,0.527296471835314,3.210150126810834,8.0,muito_forte,0.0187348389339947,Oitavo
771,19.613854980468773,0.5264696655938176,1.9330900925417174,1.0,forte,0.0116466499793248,Primeiro
788,21.444238281250023,0.5126746530316111,3.2435428421450605,7.0,forte,0.0148975748019057,Sétimo
789,21.32808837890628,0.5127022708297607,2.72597700114106,7.0,extremo,0.0295090621433363,Sétimo
790,20.182305908203148,0.5211639361914925,3.360091408617461,8.0,extremo,0.0271650556449993,Oitavo
791,19.202172851562523,0.5278306738997202,3.834605870344087,8.0,muito_forte,0.0156765563382794,Oitavo
900,29.743493652343773,0.4646843904917782,3.6725229314909016,2.0,forte,0.0121234263543682,Segundo
905,29.167138671875023,0.4682281612495994,3.580378939209723,1.0,forte,0.0125267678282091,Primeiro
1026,24.119531250000023,0.5110282466548276,3.3136207591611364,2.0,forte,0.0119004712236562,Segundo
1027,24.541925048828148,0.5036038082342321,1.6794824071055496,2.0,muito_forte,0.0159229204915621,Segundo
1028,24.10079345703128,0.5068511208393162,1.4031161432497214,2.0,muito_forte,0.0196396017697352,Segundo
1044,14.841577148437525,0.4940027684896039,8.040907701129877,5.0,forte,0.0127705986553484,Quinto
1049,13.946130371093773,0.5018251069169014,7.809458800045984,5.0,forte,0.0148767510196928,Quinto
1058,17.582879638671898,0.5139338839082708,4.596271309919427,1.0,forte,0.0148330145080161,Primeiro
1073,21.936547851562523,0.4816405746854479,4.5591442512440725,2.0,extremo,0.0200923152127634,Segundo
1074,21.699975585937523,0.4821512050990185,3.929462171172461,2.0,extremo,0.0362026045024704,Segundo
1075,21.012841796875023,0.4867507761883564,3.685134865858703,1.0,extremo,0.0420323045947057,Primeiro
1076,19.72066650390628,0.4966966296386874,4.183153957844217,1.0,extremo,0.0320243920707431,Primeiro
1077,19.239343261718773,0.5020312010746815,4.412134056212252,1.0,extremo,0.0262329900536972,Primeiro
1078,18.755029296875023,0.5046506812962318,4.196053983052998,1.0,extremo,0.0242748111671982,Primeiro
1079,18.22847900390628,0.5078449187313206,4.299072624586503,1.0,extremo,0.0205861348186566,Primeiro
1322,12.659570312500025,0.5205545494242944,2.859336526779962,8.0,extremo,0.022925014159227,Oitavo
1339,15.849816894531273,0.4973054063166371,2.6400351661427743,8.0,forte,0.0134609111499861,Oitavo
1340,14.754357910156273,0.5051711897682742,3.8716163489118953,8.0,extremo,0.0390585582922951,Oitavo
1341,13.081140136718773,0.5171137620760053,4.511946723976793,8.0,extremo,0.0392470308738768,Oitavo
1342,12.213159179687525,0.5229221160199765,4.5503570727325355,8.0,extremo,0.0238343929056821,Oitavo
1343,12.198571777343773,0.5231223511570122,3.9380797562637935,8.0,extremo,0.0207738844221884,Oitavo
1623,29.540155029296898,0.4730072616075551,1.7853325860329856,5.0,forte,0.0102300486792577,Quinto
1624,28.412988281250023,0.4797603763421318,2.7593597357212722,4.0,forte,0.0138493029896423,Quarto
1762,33.80581054687502,0.4423220090977297,9.79648135723959,4.0,extremo,0.0210083695923793,Quarto
1897,25.521264648437523,0.5014424930438057,4.375331744275004,3.0,forte,0.0136027779591816,Terceiro
1908,24.350915527343773,0.5093329366836709,5.025102981425783,3.0,forte,0.0132277188135302,Terceiro
1988,16.568566894531273,0.5014160757534711,6.9557039531579035,5.0,forte,0.0103565766939825,Quinto
2206,23.372155761718773,0.5236642775776343,2.082610389013334,8.0,muito_forte,0.0193887174985781,Oitavo
2207,22.412408447265648,0.5298628831954523,3.4952784213578276,8.0,muito_forte,0.0156722574633367,Oitavo
2208,25.924218750000023,0.45701834898243,4.089194594201948,2.0,muito_forte,0.0161532557235211,Segundo
2258,18.647882080078148,0.4951497916996005,2.8368209250848584,8.0,extremo,0.0272848228507037,Oitavo
2277,20.461450195312523,0.482192014485638,1.6410108839310242,2.0,extremo,0.021324809497514,Segundo
2278,20.0219665527344,0.4851147592402787,1.3455683384761392,1.0,muito_forte,0.0184805250379007,Primeiro
2279,19.432763671875023,0.4892029185091288,2.1068558527637427,8.0,extremo,0.0203691234850379,Oitavo
2300,25.794335937500023,0.4695960323588056,4.18947593569381,2.0,forte,0.0103945251649756,Segundo
2414,30.187280273437523,0.5014401336832084,6.890854743903287,2.0,forte,0.0128092474725419,Segundo
2445,25.540460205078148,0.5269353839573848,3.266530144530861,1.0,forte,0.0112194793154829,Primeiro
2563,21.439813232421898,0.4695271830734452,5.124622678216049,2.0,forte,0.0108105253356829,Segundo
2564,21.401940917968773,0.4683896116925338,4.709578974863016,1.0,extremo,0.0263537064124934,Primeiro
2565,20.223962402343773,0.4751411489603596,4.601780975187654,1.0,extremo,0.0317024599637418,Primeiro
2566,19.32491455078128,0.4812389574982988,4.70945742248397,1.0,extremo,0.0261098249243017,Primeiro
2567,18.028405761718773,0.4909613435726216,5.260046270474426,1.0,muito_forte,0.0154679424809697,Primeiro
2586,28.584802246093773,0.4409512584419923,2.572443507089633,2.0,extremo,0.0215334349367549,Segundo
2587,28.0873962402344,0.4445725625822264,0.6204140676083595,3.0,muito_forte,0.0191685988976507,Terceiro
2589,26.24190673828128,0.4612039867758546,1.9585162918259047,1.0,muito_forte,0.0174746312644133,Primeiro
2753,26.091455078125023,0.5081729096626114,4.2227044149013855,2.0,forte,0.0129093667584604,Segundo
2868,29.702203369140648,0.4447307797333507,2.9308494324994054,2.0,forte,0.0130166997221042,Segundo
2938,31.42867431640628,0.4918273018393745,5.8851376569105565,7.0,forte,0.0116932256082589,Sétimo
3854,30.113610839843773,0.4958100789481868,9.744086694103654,2.0,forte,0.0105051077576359,Segundo
3914,17.906945800781273,0.529489712043803,6.178409332637186,5.0,forte,0.0113950256085739,Quinto
3931,20.26558837890628,0.511650894281032,7.571047160861856,5.0,forte,0.0102394358442291,Quinto
3932,19.74874267578128,0.5153556415803408,6.970344545838845,5.0,forte,0.0120051762676506,Quinto
3933,19.102319335937523,0.5215594081036696,6.828925479984393,5.0,forte,0.0136118444398636,Quinto
3934,18.689294433593773,0.5241529055866503,7.051639019586097,5.0,muito_forte,0.015306169671132,Quinto
3935,18.32784423828128,0.5261949579356315,6.903340980849246,5.0,muito_forte,0.0159419383007455,Quinto
3985,25.595117187500023,0.4303416533533311,4.586363850787367,1.0,forte,0.0118092660959955,Primeiro
4063,28.052545166015648,0.5070596361803477,8.252723904330619,8.0,forte,0.0113096514884689,Oitavo
4091,29.51241455078128,0.4983533787096771,6.73750724532068,5.0,forte,0.0116945366268765,Quinto
4117,33.03774414062502,0.4488015310303986,7.3021447701804245,8.0,forte,0.0115864591223067,Oitavo
4118,32.47292480468752,0.4516923192171225,5.001314523671165,8.0,forte,0.0107580689799587,Oitavo
4226,21.414086914062523,0.5113233108763043,3.9915573127079695,2.0,extremo,0.0206977691211286,Segundo
4227,21.26754150390628,0.5174488187563437,3.594032736054637,1.0,forte,0.0140480929948385,Primeiro
4247,21.78292236328128,0.5086057160883038,4.401115172407128,3.0,forte,0.0129272085103626,Terceiro
4250,19.016931152343773,0.5155838083953873,2.6076243291329475,8.0,extremo,0.0247961343735593,Oitavo
4251,19.464379882812523,0.515108917813096,1.1410087396041106,8.0,forte,0.0104532638883522,Oitavo
4267,21.601739501953148,0.4956713300860215,2.1491948627436135,2.0,forte,0.0124567090668046,Segundo
4269,20.390008544921898,0.505663656341044,2.937062311873524,8.0,extremo,0.0227098019248931,Oitavo
