index,latitude,longitude,Day,Month,Year,hour,Temp2m,skinTemp,dewPoint,total_precipitation,RH,windspeed,winddir,total_evaporation,surface_pressure,windquad,skinTemp_mean,Temp2m_mean,UTFVI,UTFVI2m,THI,UHI,HTI,windpower,UHIp,UHIn,UHIp2m,UHIn2m,date,timestamp,local,NDVI
23,-15.632077021420072,-56.05666422708762,01,01,2015,09,24.378808593750023,23.268334960937523,21.938806152343773,0.0,0.5265751223895168,1.8754319629699647,356.1573061392872,-0.00016198214,98943.24,8.0,23.03470225620225,24.183806318933023,0.010040800303394704,0.007998843506527737,71.15763923155549,-0.7545838875333691,99.68488106895653,medio,forte,3.0,medio,2.0,2015-01-01,2015-01-01,COXIPO,0.44705883
194,-15.632077021420072,-56.05666422708762,01,06,2015,10,22.288964843750023,21.843225097656276,21.938531494140648,8.6128705e-07,0.5426406196589513,1.3595509170359314,185.6768069231231,3.0848663e-05,99302484.0,5.0,21.580909704974886,22.12638906672356,0.01200900469178136,0.007294003026437033,68.51204464628022,-0.9885448289116978,76.38247300863449,baixo,forte,3.0,medio,2.0,2015-06-01,2015-06-01,COXIPO,0.40554595
210,-15.632077021420072,-56.05666422708762,01,06,2015,04,23.123223876953148,22.315454101562523,22.416345214843773,0.0,0.5399058141634732,1.9029776778312395,195.5606986345247,-1.1641532e-07,99267.17,5.0,22.090414241031283,22.983676823142503,0.010084484927218335,0.006034930706601483,69.60829839097916,-0.9110187762565897,83.27227856749181,medio,forte,3.0,medio,2.0,2015-06-01,2015-06-01,COXIPO,0.40554595
211,-15.632077021420072,-56.05666422708762,01,06,2015,05,22.969079589843773,22.284936523437523,22.386071777343773,0.0,0.5408665282459835,1.811634330298629,194.3922147663853,3.9066654e-06,99228.05,5.0,22.055730093204716,22.830451891107998,0.010285262872153398,0.006035405040656116,69.40999199989733,-0.9160288610863111,82.67734397356237,medio,forte,3.0,medio,2.0,2015-06-01,2015-06-01,COXIPO,0.40554595
213,-15.632077021420072,-56.05666422708762,01,06,2015,07,22.462457275390648,21.919854736328148,22.065576171875023,0.0,0.5422887376911789,1.8065655863488623,189.0829733495693,1.5752856e-05,99177.53,5.0,21.682056352709026,22.332027520724182,0.010848538299161931,0.005806566622137174,68.74214559887318,-0.975964505904268,77.46586678243418,medio,forte,3.0,medio,2.0,2015-06-01,2015-06-01,COXIPO,0.40554595
214,-15.632077021420072,-56.05666422708762,01,06,2015,08,22.351647949218773,21.822473144531276,21.985009765625023,8.597969e-07,0.5425179784523868,1.7400435400320855,191.67156751238485,2.3488421e-05,99161.8,5.0,21.579998824982624,22.211986750562062,0.011111220893375977,0.006248362490945205,68.59523033015026,-0.9919516865959084,76.12654090036484,medio,forte,3.0,medio,2.0,2015-06-01,2015-06-01,COXIPO,0.40554595
215,-15.632077021420072,-56.05666422708762,01,06,2015,09,22.336572265625023,21.826867675781276,21.962304687500023,8.597969e-07,0.5424561229698384,1.6374463371642292,189.537026622939,2.8016511e-05,99246414.0,5.0,21.574641255102506,22.179278537070275,0.011555777238647784,0.007041981494932245,68.57450003338091,-0.9912302343804285,76.19534363865982,medio,forte,3.0,medio,2.0,2015-06-01,2015-06-01,COXIPO,0.40554595
266,-15.632077021420072,-56.05666422708762,01,09,2015,10,24.577111816406276,20.994226074218773,15.025537109375025,0.0,0.4740513860819842,0.8965620657361696,89.19968357171287,-0.0001005237,99022.06,2.0,20.725381001929975,23.597323625267336,0.012805667202895546,0.039865880029275436,70.88616341600375,-1.1279253888745473,75.20620177877576,baixo,forte,3.0,extremo,5.0,2015-09-01,2015-09-01,COXIPO,0.29261082
267,-15.632077021420072,-56.05666422708762,01,09,2015,11,24.271905517578148,23.520532226562523,18.304895019531276,0.0,0.4999444627550296,0.7590935212447507,52.68836931698135,-0.00011437619,99098.45,2.0,23.284414042781236,24.177076580057303,0.01003881126102369,0.00390694242988742,70.75292891441654,-0.7131805465005516,109.35799169623034,baixo,forte,3.0,fraco,1.0,2015-09-01,2015-09-01,COXIPO,0.29261082
268,-15.632077021420072,-56.05666422708762,01,09,2015,12,28.140496826171898,30.648706054687523,16.910852050781273,0.0,0.4634836070459794,0.7130276945957315,42.04931291749767,-0.00015230244,99180.32,1.0,30.279969919905398,28.155426832914657,0.012031050646124402,-0.0005305523507628104,75.2808924925355,0.4570550276864507,268.8507840538348,baixo,forte,3.0,nenhum,0.0,2015-09-01,2015-09-01,COXIPO,0.29261082
285,-15.632077021420072,-56.05666422708762,01,09,2015,07,24.860498046875023,22.352380371093773,15.029321289062525,0.0,0.4721598745091273,1.5885037263448074,188.18954545523235,-6.91195e-05,98910.02,5.0,22.126339499855874,25.55263244942836,0.01011260847771794,-0.027840729548068627,71.2274258826155,-0.9049565736126268,96.1206231635457,medio,forte,3.0,nenhum,0.0,2015-09-01,2015-09-01,COXIPO,0.29261082
286,-15.632077021420072,-56.05666422708762,01,09,2015,08,24.353356933593773,22.054284667968773,15.078698730468773,0.0,0.4759515558982158,1.5386323334910466,183.43577769519376,-8.024927e-05,98907.05,5.0,21.802987082080335,24.937942596532423,0.011394501779212876,-0.024004315484419104,70.62000126582927,-0.9538950822293453,90.76604487296026,medio,forte,3.0,nenhum,0.0,2015-09-01,2015-09-01,COXIPO,0.29261082
