index,latitude,longitude,Day,Month,Year,hour,Temp2m,skinTemp,dewPoint,total_precipitation,RH,windspeed,winddir,total_evaporation,surface_pressure,windquad,skinTemp_mean,Temp2m_mean,UTFVI,UTFVI2m,THI,UHI,HTI,windpower,UHIp,UHIn,UHIp2m,UHIn2m,date,timestamp,local,NDVI
42,-15.632077021420072,-56.05666422708762,01,10,2020,04,29.224237060546898,27.755426025390648,10.849755859375025,0.0,0.4167049424748988,2.7955306202115264,357.3145209876889,-3.9264094e-05,98530.89,8.0,27.469684953777005,28.983707606229416,0.010294962554429792,0.008230478483292888,75.95672249998698,-0.20622860905474105,218.2819743644136,medio,forte,3.0,medio,2.0,2020-10-01,2020-10-01,COXIPO,0.34151328
55,-15.632077021420072,-56.05666422708762,01,11,2020,15,31.570153808593773,37.60219726562502,18.494409179687523,2.5212764e-06,0.4521933255274012,0.576130647719895,309.334687886633,-0.0016795909,98786.28,7.0,37.19654194535434,31.523510732505315,0.010788074893738248,0.0014774421553740084,79.42035199740002,1.1203810927849172,479.0642056665509,baixo,forte,3.0,fraco,1.0,2020-11-01,2020-11-01,COXIPO,0.3961279
56,-15.632077021420072,-56.05666422708762,01,11,2020,16,32.56313476562502,39.45964965820315,18.003045654296898,5.8591363e-06,0.4427529547594496,0.5423151995420338,261.0865835467606,-0.0022896798,98700.33,6.0,38.95680960624543,32.50530521080782,0.012743145372888152,0.0017759209988054002,80.49228939767457,1.3706270165077044,552.023438532528,baixo,forte,3.0,fraco,1.0,2020-11-01,2020-11-01,COXIPO,0.3961279
57,-15.632077021420072,-56.05666422708762,01,11,2020,17,32.69558105468752,38.9188171386719,17.598718261718773,6.8724153e-06,0.439297995128968,1.1248191122655933,238.7815861418719,-0.0028150696,98612.36,6.0,38.48338735885784,32.69755781591056,0.011188155546006835,-6.045958381126591e-05,80.59367692079377,1.2977631660153814,536.090292084166,baixo,forte,3.0,nenhum,0.0,2020-11-01,2020-11-01,COXIPO,0.3961279
58,-15.632077021420072,-56.05666422708762,01,11,2020,18,32.79671630859377,38.31057128906252,17.386926269531273,7.379055e-06,0.4373047712571436,1.6421920896674942,219.8615652072465,-0.0033104802,98457734.0,5.0,37.85651831946785,32.77686907265911,0.011851897643831275,0.0006051592405750029,80.68234486408718,1.2158170310327334,516.5435626725025,medio,forte,3.0,fraco,1.0,2020-11-01,2020-11-01,COXIPO,0.3961279
59,-15.632077021420072,-56.05666422708762,01,11,2020,19,33.33098754882815,37.48256835937502,17.841210937500023,8.392334e-06,0.4370106688282835,1.7754998205641983,195.74796553492897,-0.0037520546,98388.0,5.0,37.00768617943413,33.31179632106449,0.012669414096382631,0.0005757773523974342,81.33783356935581,1.1042640465186997,488.26463617653394,medio,forte,3.0,fraco,1.0,2020-11-01,2020-11-01,COXIPO,0.3961279
61,-15.632077021420072,-56.05666422708762,01,11,2020,20,32.9162536621094,35.71416625976565,17.447106933593773,4.990697e-05,0.4369698458659563,2.2230986593667894,195.94818709632492,-0.0040775323,98314266.0,5.0,35.260833858952196,32.81568240141672,0.012693349678560468,0.003055367774384504,80.8240474384344,0.8660154546848978,429.9076155932359,medio,forte,3.0,fraco,1.0,2020-11-01,2020-11-01,COXIPO,0.3961279
62,-15.632077021420072,-56.05666422708762,01,11,2020,21,32.10323486328127,32.92421875000002,17.989007568359398,4.990697e-05,0.4455016645645187,1.899285609380884,194.47396546114797,-0.0042532254,98315.17,5.0,32.56482563408525,32.033425546999354,0.01091576746721651,0.0021745259186252575,79.96940849039345,0.4901387999135033,339.7171743988609,medio,forte,3.0,fraco,1.0,2020-11-01,2020-11-01,COXIPO,0.3961279
63,-15.632077021420072,-56.05666422708762,01,11,2020,22,30.808282470703148,30.292657470703148,17.991357421875023,8.558035e-05,0.4536411026010997,1.345654526958988,182.3771687619328,-0.0043213684,98362.96,5.0,29.960597308554554,30.572137193854587,0.010961737591683327,0.007664993239175885,78.4900973283626,0.1356007854792691,264.7583810083601,baixo,forte,3.0,medio,2.0,2020-11-01,2020-11-01,COXIPO,0.3961279
64,-15.632077021420072,-56.05666422708762,01,11,2020,23,30.197686767578148,28.019128417968773,18.290887451171898,8.558035e-05,0.4595702791228401,0.5165394297663294,95.44087083163345,-0.004351735,98441.11,3.0,27.650666467711346,30.33639052871615,0.013150371587616208,-0.00459319159793801,77.8182967313336,-0.1707012119153571,208.11583156781157,baixo,forte,3.0,nenhum,0.0,2020-11-01,2020-11-01,COXIPO,0.3961279
