index,latitude,longitude,Day,Month,Year,hour,Temp2m,skinTemp,dewPoint,total_precipitation,RH,windspeed,winddir,total_evaporation,surface_pressure,windquad,skinTemp_mean,Temp2m_mean,UTFVI,UTFVI2m,THI,UHI,HTI,windpower,UHIp,UHIn,UHIp2m,UHIn2m,date,timestamp,local,NDVI
56,-15.632077021420072,-56.05666422708762,01,11,2005,16,32.31228027343752,39.4811950683594,21.162683105468773,6.722212e-05,0.4654682656781757,1.1583588027588934,217.93935015217096,-0.0023391107,99071.16,5.0,39.08523442303084,32.28741785978764,0.010029094728337743,0.0007694416314630387,80.58742225196838,1.7391674260303565,530.2626302267818,baixo,forte,3.0,fraco,1.0,2005-11-01,2005-11-01,COXIPO,0.5428571
57,-15.632077021420072,-56.05666422708762,01,11,2005,17,32.97518310546877,40.21444091796877,20.691857910156276,7.255674e-05,0.4580283311609534,1.3071369768824783,212.63357859639973,-0.0029175691,98940.5,5.0,39.714472528190186,32.92078309510009,0.012432558512959192,0.0016497258012089485,81.28810660318202,1.8496246772936211,563.5319212927703,baixo,forte,3.0,fraco,1.0,2005-11-01,2005-11-01,COXIPO,0.5428571
58,-15.632077021420072,-56.05666422708762,01,11,2005,18,33.09066162109377,39.2412048339844,20.299279785156276,7.276535e-05,0.4546666779991224,1.5531858105300562,206.69022413139663,-0.0033922456,98817.17,5.0,38.75954870324284,33.039404978118796,0.01227424419763031,0.0015489760694994094,81.37055032574341,1.7030149382485145,532.5794079108383,medio,forte,3.0,fraco,1.0,2005-11-01,2005-11-01,COXIPO,0.5428571
59,-15.632077021420072,-56.05666422708762,01,11,2005,19,33.09359130859377,37.95998535156252,19.773065185546898,7.276535e-05,0.4511432086701989,1.4154636776197698,195.68361491897284,-0.0037942715,98768625.0,5.0,37.45046006791023,33.035292141259674,0.01342269442238658,0.0017616452318657623,81.30835981140336,1.510010119511858,491.9637788168016,baixo,forte,3.0,fraco,1.0,2005-11-01,2005-11-01,COXIPO,0.5428571
61,-15.632077021420072,-56.05666422708762,01,11,2005,20,32.54171142578127,36.23110351562502,19.7204528808594,9.544492e-05,0.4542614706484585,2.0673569636312394,196.6566109855161,-0.0040931245,98657.66,5.0,35.73436435857536,32.467431536539834,0.013710296095050941,0.0022826054926720907,80.67444965298037,1.2495687744181518,432.89634052850874,medio,forte,3.0,fraco,1.0,2005-11-01,2005-11-01,COXIPO,0.5428571
62,-15.632077021420072,-56.05666422708762,01,11,2005,21,31.8391052246094,33.59188232421877,20.223718261718773,9.544492e-05,0.4621337225710655,1.7876368235823812,180.01565790371023,-0.0042625535,98688.77,5.0,33.196947981322694,31.761820957166037,0.011756838723245424,0.0024273379197738477,79.93048279544479,0.8519925475171795,348.1891709400726,medio,forte,3.0,fraco,1.0,2005-11-01,2005-11-01,COXIPO,0.5428571
67,-15.632077021420072,-56.05666422708762,01,11,2005,05,24.290368652343773,23.203088378906276,20.667016601562523,0.0,0.5175158728330561,1.827858732073531,186.5097146579344,-7.396797e-05,99018.86,5.0,22.97062954878004,24.121159709138738,0.010018443507613566,0.0069660920188919515,70.9507176876334,-0.7129909075558879,100.58750650858245,medio,forte,3.0,medio,2.0,2005-11-01,2005-11-01,COXIPO,0.5428571
69,-15.632077021420072,-56.05666422708762,01,11,2005,07,23.320092773437523,22.617303466796898,20.767602539062523,0.0,0.5255505379401689,1.1304721578028958,188.847369639976,-9.9180266e-05,98952.83,5.0,22.35621695078561,23.51775830252251,0.011543662417342315,-0.008476189653504931,69.74403377430632,-0.8012344226846339,90.2216184140423,baixo,forte,3.0,nenhum,0.0,2005-11-01,2005-11-01,COXIPO,0.5428571
130,-15.632077021420072,-56.05666422708762,01,03,2005,18,29.383081054687523,31.921228027343773,24.732568359375023,0.011874199,0.5108007946057488,2.489516374683349,184.1577317263032,-0.0025088303,98648.62,5.0,31.59569292713627,29.181718237315977,0.010198075710892113,0.0068530191574114165,77.55983455212674,0.6003226859799019,275.03314069733614,medio,forte,3.0,medio,2.0,2005-03-01,2005-03-01,COXIPO,0.47879615
133,-15.632077021420072,-56.05666422708762,01,03,2005,20,30.717004394531276,32.35274658203127,24.604089355468773,0.012323096,0.5004007630951328,2.1696671449907847,180.11893019785077,-0.003413111,98513.83,5.0,32.02715827716378,30.587328137356053,0.010063699044591362,0.004221643995933088,79.1386449660751,0.6653272863404365,291.59996182281935,medio,forte,3.0,fraco,1.0,2005-03-01,2005-03-01,COXIPO,0.47879615
135,-15.632077021420072,-56.05666422708762,01,03,2005,22,27.674462890625023,28.334313964843773,24.201257324218773,0.017124802,0.519251961539696,1.7113284441820946,94.06068493022892,-0.003735167,98633.46,3.0,28.03893905796133,27.33504780707466,0.010424635911387672,0.012264559022944713,75.43236120684296,0.05998458782036924,191.46707883067765,medio,forte,3.0,forte,3.0,2005-03-01,2005-03-01,COXIPO,0.47879615
530,-15.632077021420072,-56.05666422708762,10,08,2005,10,13.084436035156273,12.003045654296898,5.072534179687523,0.0,0.481911237646505,1.8282009536526216,199.1274350712987,-8.503813e-05,99644016.0,5.0,11.711258975607905,12.939480905863718,0.024309386725071578,0.01107843921610975,56.233563769624034,-2.4001820918640404,-11.849316515041961,medio,extremo,5.0,forte,3.0,2005-08-10,2005-08-10,COXIPO,0.35235804
531,-15.632077021420072,-56.05666422708762,10,08,2005,11,13.691796875000025,13.089807128906273,6.421655273437523,0.0,0.4876371740386429,1.3093806243369694,199.4649026656165,-9.418465e-05,99715125.0,5.0,12.891119290300537,13.63909078542224,0.01517882094434932,0.0038494647604669424,57.0080913294797,-2.2364707182120602,-5.84792640946736,baixo,muito_forte,4.0,fraco,1.0,2005-08-10,2005-08-10,COXIPO,0.35235804
547,-15.632077021420072,-56.05666422708762,10,08,2005,05,15.620019531250025,14.540338134765648,5.396539306640648,0.0,0.4664062835366785,2.301754033253901,195.2606232260566,-4.2031985e-05,99650.3,5.0,14.38958701252443,15.558609814866145,0.010367786556543334,0.003931475006226523,59.465040400412505,-2.017960558400422,4.033708749700776,medio,forte,3.0,fraco,1.0,2005-08-10,2005-08-10,COXIPO,0.35235804
548,-15.632077021420072,-56.05666422708762,10,08,2005,06,15.027032470703148,13.939599609375025,5.225976562500023,0.0,0.4692817936752168,2.2704372457079973,197.3656766991753,-5.0702598e-05,99587.09,5.0,13.754651361686797,14.941938817179278,0.013267830703246409,0.00566270510759657,58.71588089910669,-2.1084567081951264,-0.42921147482272304,medio,forte,3.0,medio,2.0,2005-08-10,2005-08-10,COXIPO,0.35235804
549,-15.632077021420072,-56.05666422708762,10,08,2005,07,14.680993652343773,13.494531250000025,5.188928222656273,0.0,0.4714286402617586,2.239070040378332,199.84064675353483,-5.9431884e-05,99548.03,5.0,13.27526916007804,14.545670744206234,0.016248218323403018,0.009217557839890152,58.27726337732163,-2.175502471395836,-3.458472022764969,medio,muito_forte,4.0,medio,2.0,2005-08-10,2005-08-10,COXIPO,0.35235804
550,-15.632077021420072,-56.05666422708762,10,08,2005,08,14.189111328125025,13.028070068359398,5.024865722656273,0.0,0.4736832603530292,2.1211734747085926,199.5809641180308,-6.814953e-05,99560516.0,5.0,12.777432593919855,14.023070884400397,0.01923826576955963,0.011701962151463952,57.65139462883476,-2.2457708813329487,-6.383069306966777,medio,muito_forte,4.0,forte,3.0,2005-08-10,2005-08-10,COXIPO,0.35235804
551,-15.632077021420072,-56.05666422708762,10,08,2005,09,13.651055908203148,12.544030761718773,4.931390380859398,0.0,0.4768046823308549,1.9608363706915253,198.54826480905572,-7.6723285e-05,99581984.0,5.0,12.266751765470758,13.458507575131875,0.02210445761136049,0.014105013880689389,56.96374467678975,-2.3186872863059644,-9.136528352872473,medio,extremo,5.0,forte,3.0,2005-08-10,2005-08-10,COXIPO,0.35235804
818,-15.632077021420072,-56.05666422708762,11,08,2005,10,15.215478515625025,11.515771484375025,8.761437988281273,0.0,0.4941723761272258,1.0762701069763072,215.59935136560023,-4.1184016e-05,99392.75,5.0,11.313235314666429,15.395542996928668,0.017587720456541153,-0.011834296313371457,58.97536976824714,-2.4735858014790795,-13.779494220755183,baixo,muito_forte,4.0,nenhum,0.0,2005-08-11,2005-08-11,COXIPO,0.348643
