index,latitude,longitude,Day,Month,Year,hour,Temp2m,skinTemp,dewPoint,total_precipitation,RH,windspeed,winddir,total_evaporation,surface_pressure,windquad,skinTemp_mean,Temp2m_mean,UTFVI,UTFVI2m,THI,UHI,HTI,windpower,UHIp,UHIn,UHIp2m,UHIn2m,date,timestamp,local,NDVI
458,-15.632077021420072,-56.05666422708762,10,05,2000,10,20.406335449218773,19.368737792968773,19.408776855468773,0.0,0.5373259185910656,1.7357292837064051,201.60977329065696,-4.2860396e-05,99247.55,5.0,19.117265941915093,20.259624309952187,0.012983388682403904,0.007189489736247684,65.95242807199259,-1.2106477692389688,46.74528976650033,medio,forte,3.0,medio,2.0,2000-05-10,2000-05-10,COXIPO,0.46161616
479,-15.632077021420072,-56.05666422708762,10,05,2000,09,20.752648925781276,19.689416503906276,19.683068847656276,0.0,0.5367933638171344,1.785650916026565,204.3863952566925,-4.3136533e-05,99194.55,5.0,19.465500791848626,20.588479184769596,0.011372389426229383,0.007910784864082082,66.41217892664446,-1.1581657574371302,50.439548967724456,medio,forte,3.0,medio,2.0,2000-05-10,2000-05-10,COXIPO,0.46161616
734,-15.632077021420072,-56.05666422708762,11,04,2000,21,28.909082031250023,29.692498779296898,22.767236328125023,0.0006587982,0.4997568512311349,1.95160533588727,184.14856508148185,-0.0042725997,98543.03,5.0,29.362722231456303,28.919381064691947,0.011106392570453913,-0.00035625598318174244,76.77827877519177,0.478930389348009,228.77050972090632,medio,forte,3.0,nenhum,0.0,2000-04-11,2000-04-11,COXIPO,0.4972361
813,-15.632077021420072,-56.05666422708762,11,07,2000,07,10.658563232421898,11.614770507812525,5.106164550781273,9.014011e-05,0.5000560221934729,5.235303541860523,190.2365937047656,-0.00019906322,100192.17,5.0,11.489899368883073,10.668434978998562,0.010751063815290946,-0.0009261798575848854,53.05592259865401,-2.479655622554023,-13.194529931081185,alto,forte,3.0,nenhum,0.0,2000-07-11,2000-07-11,COXIPO,0.3803482
1133,-15.632077021420072,-56.05666422708762,12,09,2000,13,28.584863281250023,31.938043212890648,21.664453125000023,0.00093281566,0.4940303196661699,5.206315787109982,1.3782686305379457,-0.0003853757,99098.55,1.0,31.59928931489435,28.586216685124214,0.010606595267538883,-4.734687239447704e-05,76.27564316625688,0.8464343284803693,284.8812070264511,alto,forte,3.0,nenhum,0.0,2000-09-12,2000-09-12,COXIPO,0.35236496
1370,-15.632077021420072,-56.05666422708762,13,07,2000,10,10.388513183593773,9.766320800781273,2.8977294921875227,1.7166137e-06,0.4851207395822862,1.9890222047660449,205.32052255872264,-9.991834e-05,99811625.0,5.0,9.641210351250493,10.363562265660335,0.012810397291144847,0.002401779493608606,52.76475509567544,-2.7821713681609253,-20.090045887610042,medio,forte,3.0,fraco,1.0,2000-07-13,2000-07-13,COXIPO,0.38741425
1371,-15.632077021420072,-56.05666422708762,13,07,2000,11,10.657006835937525,10.267419433593773,3.5252319335937727,2.5749205e-06,0.4879174985034088,1.7045915541343883,204.40292782140344,-0.00011151191,99855.53,5.0,10.160096959623786,10.632390500736733,0.010452721315624877,0.0023098732673962835,53.0993336072253,-2.700161981618655,-18.57377049391151,medio,forte,3.0,fraco,1.0,2000-07-13,2000-07-13,COXIPO,0.38741425
1391,-15.632077021420072,-56.05666422708762,13,07,2000,09,10.656640625000025,10.070855712890648,2.8942810058593977,8.5830686e-07,0.4831347211163982,2.082585020533734,205.03828561094903,-9.0782065e-05,99755.19,5.0,9.958140242296338,10.64486752331402,0.01119224361938128,0.0011047666990276477,53.11676561232095,-2.7323314370826477,-19.33531802807209,medio,forte,3.0,fraco,1.0,2000-07-13,2000-07-13,COXIPO,0.38741425
1886,-15.632077021420072,-56.05666422708762,15,04,2000,21,28.474908447265648,29.602929687500023,23.453088378906276,0.008347869,0.5078677181070893,2.32935037426108,87.32702717200006,-0.0041045826,98674.67,2.0,29.243334945317997,28.149261817509114,0.012147268732454752,0.011436266085266543,76.32811839349151,0.46427158608969205,223.08888782516428,medio,forte,3.0,forte,3.0,2000-04-15,2000-04-15,COXIPO,0.48722044
1898,-15.632077021420072,-56.05666422708762,15,05,2000,10,19.409570312500023,17.681787109375023,15.519677734375025,0.0,0.5146080176999986,2.134326689037922,351.96673713083305,-0.00017069466,98902.87,8.0,17.416885760541618,19.15960309536814,0.014981593613518404,0.012878554914268238,64.50562129804442,-1.486732718647229,30.616387091823768,medio,forte,3.0,forte,3.0,2000-05-15,2000-05-15,COXIPO,0.4600856
