index,latitude,longitude,Day,Month,Year,hour,Temp2m,skinTemp,dewPoint,total_precipitation,RH,windspeed,winddir,total_evaporation,surface_pressure,windquad,skinTemp_mean,Temp2m_mean,UTFVI,UTFVI2m,THI,UHI,HTI,windpower,UHIp,UHIn,UHIp2m,UHIn2m,date,timestamp,local,NDVI
764,-15.632077021420072,-56.05666422708762,11,05,2010,06,14.848718261718773,13.563562011718773,9.839898681640648,0.0,0.5051255916639399,2.757527455520038,191.405748366086,-9.706896e-05,99422.19,5.0,13.342313615820217,14.748314553527734,0.01631196847165955,0.006761776095509022,58.505633686816125,-2.0864703403857336,-2.810695036234736,medio,muito_forte,4.0,medio,2.0,2010-05-11,2010-05-11,COXIPO,0.4568528
765,-15.632077021420072,-56.05666422708762,11,05,2010,07,14.155786132812525,13.101525878906273,9.678247070312525,0.0,0.5091003967499347,2.660490158639321,192.1893213886273,-0.00011179596,99427.86,5.0,12.85601903172136,14.063495220739128,0.01873879801895321,0.006519659961481762,57.600299529573036,-2.1565110510914147,-5.535983404220812,medio,muito_forte,4.0,medio,2.0,2010-05-11,2010-05-11,COXIPO,0.4568528
766,-15.632077021420072,-56.05666422708762,11,05,2010,08,13.658807373046898,12.650537109375025,9.359094238281273,0.0,0.5103920954682772,2.3823737563772336,193.9637531103351,-0.00012632739,99436.58,5.0,12.39601763803006,13.542596689784205,0.02011926206329583,0.008508113489616472,56.94874704042129,-2.2248770763759955,-7.994918019577621,medio,extremo,5.0,medio,2.0,2010-05-11,2010-05-11,COXIPO,0.4568528
767,-15.632077021420072,-56.05666422708762,11,05,2010,09,13.198693847656273,12.179101562500025,9.078118896484398,0.0,0.5117082438174477,2.162061548824014,196.55945328222228,-0.00014005695,99491.09,5.0,11.895504487306937,13.0458554713029,0.023285549737617362,0.011579810708353722,56.344236816622114,-2.2963426575504577,-10.339779535587558,medio,extremo,5.0,forte,3.0,2010-05-11,2010-05-11,COXIPO,0.4568528
770,-15.632077021420072,-56.05666422708762,11,06,2010,10,19.268518066406276,16.602685546875023,17.015710449218773,8.523463e-07,0.527296471835314,0.891708368558565,344.6497393335153,-4.6513043e-05,99384.58,8.0,16.367498673253294,18.907525483935387,0.014165592244562842,0.01873483893399471,64.38196685260753,-1.6257653062816408,19.749597208082392,baixo,forte,3.0,muito_forte,4.0,2010-06-11,2010-06-11,COXIPO,0.39859322
771,-15.632077021420072,-56.05666422708762,11,06,2010,11,19.613854980468773,17.519982910156273,17.249291992187523,1.7195939e-06,0.5264696655938176,0.536969470150477,26.40017120561828,-5.1141717e-05,99469.61,1.0,17.307837844124037,19.385419276766015,0.012108748457126377,0.011646649979324866,64.83602047239708,-1.486710901896478,28.285884591148548,baixo,forte,3.0,forte,3.0,2010-06-11,2010-06-11,COXIPO,0.39859322
780,-15.632077021420072,-56.05666422708762,11,06,2010,02,23.011682128906276,21.760583496093773,17.835839843750023,0.0,0.5055539247575614,1.3844895413100764,182.6683839681607,-1.47288665e-05,99402.05,5.0,21.480923348917088,23.205489922063407,0.012851684203545665,-0.00842214802340233,69.16301540215814,-0.8438722627406899,81.38903997209624,baixo,forte,3.0,nenhum,0.0,2010-06-11,2010-06-11,COXIPO,0.39859322
785,-15.632077021420072,-56.05666422708762,11,06,2010,03,22.921716308593773,20.595361328125023,17.505883789062523,0.0,0.5037383235416495,1.046817741432896,193.6681610769984,-2.0060455e-05,99414984.0,5.0,20.329290775561162,23.320036788299205,0.012918955308665285,-0.01737742821448737,69.03008813386359,-1.0205099388413714,65.60897015501894,baixo,forte,3.0,nenhum,0.0,2010-06-11,2010-06-11,COXIPO,0.39859322
786,-15.632077021420072,-56.05666422708762,11,06,2010,04,22.456018066406276,19.702294921875023,17.382653808593773,0.0,0.5062051346578518,0.9692886154368416,221.51766219724144,-2.4472363e-05,99429.61,5.0,19.43464450073725,22.811068278076448,0.013584733260723191,-0.015810915836468757,68.4428121632363,-1.1558911381868835,53.92834165993547,baixo,forte,3.0,nenhum,0.0,2010-06-11,2010-06-11,COXIPO,0.39859322
787,-15.632077021420072,-56.05666422708762,11,06,2010,05,21.951867675781276,18.990350341796898,17.323571777343773,0.0,0.5094575379577286,0.9310989409655588,246.6459742965126,-2.8626528e-05,99394.31,6.0,18.719893705967024,22.208026625572415,0.014241792855954357,-0.011669118708917434,67.8088500537111,-1.26381582379143,45.14158565237752,baixo,forte,3.0,nenhum,0.0,2010-06-11,2010-06-11,COXIPO,0.39859322
788,-15.632077021420072,-56.05666422708762,11,06,2010,06,21.444238281250023,18.382226562500023,17.252801513671898,0.0,0.5126746530316111,0.9009841228180724,273.92126515763204,-3.264146e-05,99347.59,7.0,18.11585309852137,21.12477113738521,0.014490816064799128,0.014897574801905745,67.16679304171187,-1.3560021673998919,38.08196950780494,baixo,forte,3.0,forte,3.0,2010-06-11,2010-06-11,COXIPO,0.39859322
789,-15.632077021420072,-56.05666422708762,11,06,2010,07,21.328088378906276,17.895837402343773,17.143151855468773,0.0,0.5127022708297607,0.7572158336502944,295.7982245415782,-3.658794e-05,99294.9,7.0,17.6385759399044,20.698716493534562,0.014375491722208023,0.02950906214333632,67.01451734749955,-1.4297345879565064,32.929905269630595,baixo,forte,3.0,extremo,5.0,2010-06-11,2010-06-11,COXIPO,0.39859322
790,-15.632077021420072,-56.05666422708762,11,06,2010,08,20.182305908203148,17.430963134765648,17.124963378906273,0.0,0.5211639361914925,0.9333587246159614,316.4317210044578,-4.02024e-05,99282.59,8.0,17.18416933631761,19.63405244516241,0.01415835697316198,0.02716505564499933,65.55937403394499,-1.5002055355245145,27.733209041129136,baixo,forte,3.0,extremo,5.0,2010-06-11,2010-06-11,COXIPO,0.39859322
791,-15.632077021420072,-56.05666422708762,11,06,2010,09,19.202172851562523,16.993005371093773,17.018640136718773,8.523463e-07,0.5278306738997202,1.0651682973178018,331.40098565338724,-4.367251e-05,99324.31,8.0,16.761019779820288,18.901148907037623,0.013651828279187626,0.01567655633827944,64.2964724136732,-1.5665961722046486,23.237342816584327,baixo,forte,3.0,muito_forte,4.0,2010-06-11,2010-06-11,COXIPO,0.39859322
